Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.526988, -0.087035, -2.76348, -0.334772, 0.129275, -0.028658
0.535429, -0.081755, -2.75384, -0.350869, 0.122337, -0.042599
0.540247, -0.078071, -2.77875, -0.376823, 0.135878, -0.06823
0.540384, -0.080013, -2.79329, -0.421337, 0.137324, -0.080413
0.544912, -0.076738, -2.80513, -0.424468, 0.174642, -0.066037
0.550298, -0.086251, -2.82939, -0.433884, 0.180442, -0.069419
0.548037, -0.087174, -2.82747, -0.431928, 0.203925, -0.072274
0.544871, -0.08914, -2.85367, -0.423653, 0.203062, -0.075837
0.551378, -0.092763, -2.8559, -0.427938, 0.209276, -0.083925
0.536311, -0.099408, -2.90985, -0.412345, 0.217139, -0.071795
0.548197, -0.103236, -2.96939, -0.400966, 0.212007, -0.036555
0.55092, -0.118098, -3.07548, -0.337421, 0.202705, -0.023901
0.554619, -0.139418, -3.13482, -0.22423, 0.194084, -0.001245
0.549839, -0.153181, -3.20101, -0.191887, 0.185443, 0.000386
0.562896, -0.158616, -3.31752, -0.167718, 0.185449, 0.007997
0.579035, -0.16899, -3.46828, -0.162183, 0.159382, 0.015135
0.57873, -0.164019, -3.52308, -0.175959, 0.140017, -0.001558
0.594373, -0.156319, -3.58761, -0.182145, 0.111651, -0.003658
0.614508, -0.158357, -3.69637, -0.190951, 0.114688, -0.001651
0.639536, -0.153437, -3.96024, -0.192295, 0.126812, -0.002395
0.67834, -0.149993, -4.27908, -0.224766, 0.144616, -0.022191
0.695639, -0.143136, -4.47916, -0.270722, 0.144059, -0.129092
0.728566, -0.141268, -4.71347, -0.310496, 0.120672, -0.152714
0.7666, -0.138225, -5.08025, -0.338605, 0.155025, -0.155972
0.798888, -0.128708, -5.39228, -0.381605, 0.167859, -0.141427
0.813791, -0.12906, -5.60933, -0.455978, 0.209791, -0.109007
0.837955, -0.140428, -5.9329, -0.472088, 0.316744, -0.159495
0.877596, -0.159031, -6.2696, -0.46019, 0.40606, -0.174452
0.872087, -0.169614, -6.33428, -0.451367, 0.506949, -0.182483
0.882487, -0.201842, -6.50114, -0.387376, 0.566049, -0.1832
0.915482, -0.235922, -6.87545, -0.330096, 0.629037, -0.183435
