Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.108695, -0.128101, -1.81252, 0.185458, 0.416711, 0.048452
0.068246, -0.15897, -2.1186, 0.260619, 0.295823, 0.014941
0.039635, -0.153387, -2.33569, 0.307379, 0.220121, 0.01418
-0.015771, -0.171598, -2.65327, 0.341161, 0.149622, 0.015279
-0.073917, -0.186374, -3.14205, 0.390106, 0.07894, 0.011052
-0.141962, -0.193674, -3.61869, 0.383497, 0.012747, 0.018651
-0.195844, -0.191873, -4.02336, 0.378615, -0.033456, 0.009522
-0.254897, -0.195009, -4.44201, 0.392108, -0.099306, -0.000776
-0.311715, -0.207747, -4.89529, 0.412197, -0.206509, -0.033771
-0.378243, -0.210102, -5.27602, 0.394309, -0.290118, -0.055066
-0.403443, -0.220124, -5.49613, 0.41282, -0.302429, -0.091711
-0.463352, -0.236347, -5.94177, 0.458799, -0.429199, -0.148597
-0.606283, -0.250322, -6.96199, 0.498456, -0.727754, -0.175079
-0.742383, -0.207391, -8.01387, 0.402752, -1.03228, -0.060477
-0.799684, -0.187358, -8.38906, 0.372723, -1.02349, 0.080986
-0.821605, -0.196081, -8.71252, 0.469618, -0.928708, 0.096016
-0.861231, -0.221455, -9.03793, 0.513317, -0.827434, 0.117483
-0.887647, -0.210627, -9.12263, 0.521703, -0.689456, 0.033012
-0.941126, -0.207117, -9.39007, 0.529251, -0.675197, -0.129609
-1.03983, -0.195364, -9.89198, 0.514484, -0.782408, -0.170929
-1.12736, -0.165783, -10.4173, 0.406962, -1.01378, -0.168585
-1.19539, -0.137766, -10.6055, 0.161256, -1.22784, -0.106565
-1.24966, -0.120916, -10.8793, 0.033319, -1.45278, 0.067982
-1.30921, -0.09404, -11.2428, -0.128784, -1.61832, 0.116937
-1.34655, -0.072197, -11.5284, -0.204573, -1.70421, 0.132789
-1.37907, -0.109952, -11.7875, -0.192278, -1.68147, 0.1498
-1.40695, -0.142903, -12.0749, -0.102226, -1.59121, 0.149831
-1.43265, -0.162226, -12.2267, 0.042839, -1.41786, 0.185482
