Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.20467, -0.042291, -0.522844, 0.012413, 0.156854, -0.0331
0.194706, -0.038018, -0.54082, 0.010228, 0.15375, -0.027368
0.199117, -0.040411, -0.54113, 0.01577, 0.155639, -0.041115
0.192492, -0.031585, -0.530835, 0.013428, 0.151894, -0.030472
0.183626, -0.038295, -0.545065, 0.019634, 0.145936, -0.040072
0.172487, -0.043849, -0.54086, 0.017372, 0.140919, -0.034948
0.163567, -0.046995, -0.508446, 0.016233, 0.124014, -0.029122
0.158732, -0.04874, -0.50871, 0.001784, 0.1027, -0.040417
0.150849, -0.037703, -0.512738, -0.004048, 0.112756, -0.037759
0.152335, -0.031637, -0.516647, 0.01258, 0.122397, -0.033413
0.165848, -0.03783, -0.516566, 0.018263, 0.123993, -0.030239
0.164537, -0.035898, -0.538841, 0.00774, 0.123414, -0.033881
0.150846, -0.035048, -0.532942, -0.005099, 0.114136, -0.040013
0.147933, -0.040867, -0.550944, 0.015078, 0.115843, -0.039591
0.163393, -0.047033, -0.565012, 0.004639, 0.117936, -0.036016
0.169501, -0.060195, -0.611356, 0.032343, 0.130219, -0.042904
0.175343, -0.063451, -0.651606, 0.041917, 0.118584, -0.04447
0.16433, -0.072852, -0.661451, 0.044642, 0.115047, -0.038964
0.162027, -0.074259, -0.738259, 0.039285, 0.103592, -0.052334
0.159289, -0.086574, -0.806458, 0.060806, 0.103165, -0.047819
0.165893, -0.0916, -0.84486, 0.055763, 0.101748, -0.053584
0.163318, -0.106643, -0.99171, 0.080361, 0.086101, -0.056757
0.166112, -0.119587, -1.16068, 0.089705, 0.074565, -0.055051
0.182203, -0.136669, -1.52145, 0.087033, 0.092403, -0.071564
0.240156, -0.117778, -2.2066, 0.078952, 0.12951, -0.084007
0.248695, -0.099235, -3.33033, 0.055602, 0.144941, -0.089264
0.177604, -0.022172, -5.11038, -0.018152, 0.073958, -0.091047
-0.040745, 0.173194, -7.21217, -0.160741, -0.123734, -0.070936
-0.173615, 0.355729, -9.00526, -0.311937, -0.180116, -0.088187
