Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.286241, 0.12941, -2.03188, -0.110197, 0.077089, -0.108606
0.301954, 0.13761, -2.14054, -0.120768, 0.077978, -0.101183
0.314987, 0.122313, -2.27529, -0.094494, 0.106093, -0.098605
0.346355, 0.127369, -2.45287, -0.098135, 0.121101, -0.10975
0.421207, 0.156681, -2.71896, -0.119273, 0.173014, -0.102064
0.544528, 0.226962, -3.17343, -0.17318, 0.26486, -0.121458
0.650786, 0.383987, -4.03917, -0.295444, 0.301988, -0.14337
0.66504, 0.615996, -5.59632, -0.459901, 0.189866, -0.203012
0.590608, 0.865926, -7.5651, -0.613358, -0.03774, -0.233777
0.529816, 1.14393, -9.49608, -0.730699, -0.257263, -0.197022
0.597865, 1.37336, -11.094, -0.788238, -0.29477, -0.113498
0.685662, 1.5911, -12.0226, -0.878251, -0.243637, -0.062032
0.764042, 1.80782, -12.4915, -0.965289, -0.192706, -0.074195
0.749961, 1.94552, -12.6244, -1.05218, -0.230215, -0.125588
0.716389, 2.10169, -13.0265, -1.2309, -0.322765, -0.224933
0.748275, 2.27943, -13.7335, -1.37228, -0.343858, -0.265717
0.806578, 2.4112, -14.7488, -1.41809, -0.250152, -0.24321
0.869734, 2.52898, -16.377, -1.41236, -0.103784, -0.183607
0.902831, 2.75304, -18.8224, -1.53939, -0.13782, -0.174961
0.981457, 3.09349, -20.9253, -1.73735, -0.203995, -0.204732
0.801681, 3.50655, -23.7718, -2.00029, -0.549546, -0.289707
0.583907, 3.85571, -26.8872, -2.16691, -0.750293, -0.279452
0.926801, 4.10381, -28.3731, -2.33663, -0.035214, -0.117896
0.92473, 4.15851, -28.7912, -2.33839, -0.003906, -0.079279
0.36754, 4.15977, -30.3945, -2.23677, -0.863085, -0.171136
0.53712, 4.4359, -31.466, -2.40258, -0.665162, -0.160801
0.805674, 4.54675, -31.1513, -2.53403, -0.090471, -0.105241
0.459768, 4.38283, -30.4637, -2.39559, -0.478176, -0.094306
0.169277, 4.28677, -30.507, -2.26491, -1.10011, -0.172912
0.414124, 4.19981, -30.3236, -2.15511, -0.99806, -0.242615
0.431802, 4.20701, -31.1296, -2.11255, -0.892959, -0.270931
0.598392, 4.45243, -32.1809, -2.29491, -0.443789, -0.159434
0.907752, 4.49175, -31.551, -2.43419, 0.150812, -0.060845
0.340579, 4.11105, -30.0542, -2.26085, -0.804936, -0.172343
-0.355502, 3.94433, -30.1708, -2.14797, -2.03337, -0.301693
-0.056712, 4.11989, -31.2385, -2.23175, -1.78512, -0.226406
0.391121, 4.46555, -31.8954, -2.55336, -0.792649, -0.095843
0.314522, 4.51452, -30.088, -2.74311, -0.657288, -0.078502
-0.332319, 4.15168, -29.2591, -2.50699, -1.73763, -0.193033
-0.520341, 3.81675, -28.8408, -2.22836, -2.13598, -0.202252
-0.557373, 3.76898, -29.1279, -2.15647, -1.98155, -0.181576
-0.626363, 3.90946, -29.2874, -2.28534, -1.65007, -0.141674
-0.356357, 4.21293, -29.4671, -2.57899, -0.953448, -0.062281
0.179665, 4.62352, -30.2677, -2.91423, -0.12034, 0.052002
0.335477, 4.83739, -29.7023, -3.15229, -0.012677, 0.056648
-0.281024, 4.89149, -30.1097, -3.17159, -0.687804, 0.002877
-0.322938, 4.88538, -30.3996, -3.02191, -0.457239, 0.157051
0.217224, 4.7862, -30.3512, -2.84117, 0.20735, 0.312719
-0.037416, 4.80505, -30.0394, -2.89378, -0.303721, 0.246537
-0.481871, 4.97347, -29.8751, -3.12454, -1.08266, 0.086372
-0.2304, 5.01442, -30.1782, -3.1693, -0.831419, 0.101668
-0.059763, 5.18064, -31.5921, -3.19104, -0.109119, 0.267859
0.032307, 5.3307, -31.4235, -3.3775, 0.472698, 0.35546
0.172996, 5.51382, -31.1667, -3.60527, 0.594821, 0.330257
0.216229, 5.83427, -32.3337, -3.99091, 0.451293, 0.221953
0.50177, 5.94584, -32.015, -4.12311, 0.628, 0.250918
0.409061, 6.1419, -32.6554, -4.33513, 0.909613, 0.408013
0.887901, 6.23194, -31.905, -4.3531, 1.28966, 0.491435
0.832007, 5.91008, -31.1376, -4.01365, 0.289954, 0.314936
-0.11148, 5.6388, -30.1808, -3.84004, -1.48775, 0.016623
-0.508785, 5.54873, -30.746, -3.74485, -2.12046, -0.084842
0.345888, 5.59768, -31.1078, -3.77209, -0.635821, 0.075929
0.697388, 5.67601, -30.6521, -3.85759, 0.146482, 0.150008
0.214878, 5.59409, -30.9952, -3.83738, -0.520774, 0.072132
0.332406, 5.7528, -31.2503, -4.02217, -0.493537, 0.085938
0.227476, 5.77964, -30.5148, -4.08404, -0.479532, 0.119292
-0.27763, 5.67764, -30.6307, -4.00511, -0.722069, 0.213395
-0.039993, 5.82453, -31.3025, -4.17505, -0.313255, 0.351786
0.343922, 5.8324, -29.9387, -4.23993, -0.209438, 0.284157
-0.474952, 5.60249, -29.4466, -4.00063, -1.43137, 0.135716
-0.733191, 5.54129, -31.0607, -3.9072, -1.64218, 0.171672
0.328579, 5.83677, -31.8657, -4.17658, -0.008914, 0.357885
0.327819, 5.95935, -31.0812, -4.26253, 0.015925, 0.283088
-0.49684, 5.87783, -32.244, -4.14029, -1.21291, 0.09532
0.243703, 6.06307, -33.3299, -4.34254, -0.278006, 0.202488
0.828303, 5.97401, -32.2791, -4.29827, 0.723587, 0.318319
-0.076732, 5.6581, -30.9299, -3.99246, -0.467021, 0.195334
-0.385963, 5.35297, -30.2077, -3.68822, -1.34628, 0.055999
0.058582, 5.23134, -31.2886, -3.51279, -0.876896, 0.101936
0.49264, 5.46882, -31.931, -3.71639, 0.246623, 0.216885
0.62687, 5.56125, -30.7679, -3.81403, 0.427243, 0.169631
0.009898, 5.12273, -29.8853, -3.43456, -0.701138, -0.007775
-0.355904, 4.72394, -30.5695, -3.00157, -1.30797, 0.028859
0.207191, 4.75283, -31.2636, -2.90779, -0.484519, 0.165626
0.563434, 5.17103, -30.749, -3.2511, 0.160433, 0.1861
-0.103855, 5.18274, -30.1257, -3.26014, -0.962711, -0.004907
-0.404199, 4.92628, -30.8204, -2.93746, -1.65163, -0.024867
-0.160761, 4.88926, -31.0248, -2.81971, -1.2512, 0.12984
-0.273676, 5.09131, -31.1279, -3.04327, -1.04443, 0.184726
-0.635071, 4.96969, -29.9289, -2.98625, -1.61548, 0.117591
-0.812892, 4.68866, -31.2447, -2.77012, -1.98001, 0.105102
-0.15561, 4.75784, -32.1884, -2.88069, -1.04322, 0.216148
0.187421, 4.87741, -31.3819, -3.05773, -0.364748, 0.240254
-0.595882, 4.80249, -31.4739, -3.09849, -1.23563, 0.099685
-0.438577, 4.78952, -32.8155, -3.17032, -1.12321, 0.101632
0.420248, 4.98446, -33.3281, -3.41443, -0.024569, 0.225183
0.143356, 5.21257, -32.7457, -3.66425, -0.079261, 0.205736
-0.377122, 5.39643, -33.0935, -3.929, -0.672103, 0.111135
0.123754, 5.26103, -32.8882, -3.88371, -0.404649, 0.158052
-0.025114, 5.14222, -33.0379, -3.75273, -0.599326, 0.225787
-0.343954, 5.41813, -33.1038, -4.00227, -0.775445, 0.199593
0.209618, 5.59972, -32.8603, -4.24774, -0.215869, 0.207895
0.013791, 5.36625, -32.6326, -4.09897, -0.638598, 0.179505
-0.579297, 5.20675, -32.7776, -3.99711, -1.31214, 0.17963
-0.069885, 5.24828, -32.3311, -3.953, -0.795579, 0.261038
0.160243, 5.5766, -32.4698, -4.21308, -0.519434, 0.252914
0.069381, 5.68611, -32.0139, -4.44513, -0.814334, 0.145938
0.034632, 5.22413, -30.6694, -4.02089, -1.23135, 0.115836
-0.518697, 4.94025, -30.9594, -3.67361, -1.77162, 0.152062
-0.462809, 5.15723, -31.9904, -3.86327, -1.29343, 0.252996
0.07087, 5.39387, -31.67, -4.09703, -0.519892, 0.295144
-0.421769, 5.4761, -31.836, -4.2167, -1.05715, 0.192792
-0.452034, 5.65036, -32.7895, -4.39682, -1.05028, 0.201102
0.390543, 5.65058, -32.217, -4.32229, -0.120887, 0.304633
-0.093199, 5.29434, -30.6284, -3.98129, -0.585072, 0.266292
-0.944342, 4.96768, -30.3298, -3.72348, -1.6473, 0.182032
-0.352924, 4.87968, -30.7071, -3.59311, -1.16663, 0.217913
0.018919, 4.87535, -29.89, -3.5907, -0.694458, 0.195379
-0.575214, 4.74596, -29.7973, -3.54959, -1.37427, 0.048854
-0.48542, 4.82755, -30.955, -3.60978, -1.44444, 0.077127
0.011589, 5.05699, -32.2025, -3.82788, -0.550536, 0.22177
-0.029832, 5.14984, -32.018, -3.92525, -0.328169, 0.233969
-0.367991, 4.8666, -31.1361, -3.67297, -1.04257, 0.141205
-0.574124, 4.67823, -31.8632, -3.51994, -1.42713, 0.10129
-0.282527, 4.86303, -32.9233, -3.66499, -0.813628, 0.187724
-0.055472, 4.9877, -32.3404, -3.67814, -0.558575, 0.219544
-0.721351, 4.83471, -31.8046, -3.54445, -1.58559, 0.113278
-0.930049, 4.86566, -33.1124, -3.60946, -1.83329, 0.118703
-0.096509, 5.03132, -33.2233, -3.74214, -0.650822, 0.267502
-0.256737, 5.06456, -32.1167, -3.75251, -0.784357, 0.299212
-0.995885, 4.98046, -31.3781, -3.69709, -1.85352, 0.183976
-0.700516, 4.70843, -30.7252, -3.42561, -1.8576, 0.152316
-0.310356, 4.60823, -30.0505, -3.27787, -1.35853, 0.202396
-0.583999, 4.72143, -29.7262, -3.27676, -1.41725, 0.192977
-0.452039, 4.89136, -29.9866, -3.43137, -1.26437, 0.163092
-0.304646, 4.88752, -29.9801, -3.44785, -1.26152, 0.118464
-0.644635, 4.98, -31.1006, -3.54209, -1.49678, 0.127724
-0.324393, 5.32321, -31.2296, -3.8505, -0.918127, 0.232009
-0.177305, 5.41272, -30.3816, -3.97808, -0.735941, 0.232182
-0.995385, 5.1709, -30.8279, -3.71623, -1.70731, 0.172501
-0.718981, 5.43338, -32.6909, -3.84344, -1.3675, 0.270646
0.312665, 5.92066, -32.9543, -4.30044, -0.086739, 0.324298
-0.187726, 5.80111, -31.4841, -4.22757, -0.593018, 0.217101
-1.23484, 5.20363, -31.029, -3.61462, -2.08422, 0.117733
-0.763339, 5.09751, -32.8636, -3.36774, -1.65833, 0.207706
-0.12208, 5.5085, -33.1954, -3.68496, -0.62267, 0.247796
-0.565477, 5.79501, -32.6149, -3.98339, -0.95467, 0.131471
-0.738676, 5.65332, -32.5812, -3.89926, -1.40164, 0.100247
-0.259472, 5.343, -32.5456, -3.58264, -1.063, 0.216881
-0.325818, 5.2648, -32.421, -3.44821, -1.1454, 0.246614
-0.682399, 5.59012, -32.4542, -3.72321, -1.55278, 0.15002
-0.493084, 5.65082, -31.5208, -3.88469, -1.5539, 0.091915
-0.731385, 5.10394, -30.7214, -3.41951, -2.1124, 0.110428
-1.15722, 4.92434, -31.0572, -3.16175, -2.55769, 0.140285
-0.681526, 5.39175, -31.7195, -3.495, -1.9645, 0.126624
-0.286426, 5.70131, -30.9341, -3.77962, -1.45929, 0.070256
-0.892912, 5.46606, -30.618, -3.55263, -2.17222, 0.035946
-0.746044, 5.39987, -30.9658, -3.53748, -1.87863, 0.166353
-0.065466, 5.71405, -31.1814, -3.79282, -0.993926, 0.235033
-0.444635, 5.84948, -30.6318, -3.94672, -1.40185, 0.12293
-0.956186, 5.54851, -30.2256, -3.68154, -2.16697, 0.054263
-0.463545, 5.50204, -31.5365, -3.57248, -1.47905, 0.2133
0.229988, 5.7808, -31.4561, -3.8651, -0.33691, 0.302767
-0.119937, 5.91879, -31.0288, -4.04905, -0.841074, 0.130588
-0.530652, 5.63939, -30.7952, -3.81429, -1.66469, 0.020506
-0.506546, 5.24549, -31.2901, -3.37845, -1.747, 0.14322
-0.324269, 5.3015, -31.8371, -3.42485, -1.17009, 0.249492
-0.00954, 5.84081, -32.1321, -3.90248, -0.666345, 0.199084
0.002728, 5.82472, -31.3503, -3.92119, -1.00548, 0.035481
-0.707487, 5.06108, -31.0067, -3.19665, -2.14044, 0.007711
-0.972583, 4.76712, -32.1152, -2.87278, -2.31656, 0.141995
-0.214736, 5.35533, -32.8992, -3.39113, -1.04823, 0.229038
0.110095, 5.86294, -32.2212, -3.95581, -0.489635, 0.131332
-0.37602, 5.37583, -31.253, -3.55816, -1.29289, 0.026788
-0.682862, 4.84607, -31.7464, -3.06159, -1.70932, 0.113376
-0.320007, 4.93608, -32.744, -3.06003, -1.0604, 0.26027
0.056879, 5.52183, -33.1203, -3.6709, -0.333238, 0.231898
0.036574, 5.6229, -31.8631, -3.86002, -0.705941, 0.12269
-0.529468, 5.29184, -32.2703, -3.60909, -1.63529, 0.11648
-0.353914, 5.02401, -31.625, -3.28491, -1.43155, 0.269537
-0.436032, 4.92284, -31.2129, -3.1696, -1.49458, 0.276074
-0.59709, 5.38911, -32.7982, -3.69315, -1.37011, 0.225745
0.222025, 5.53861, -32.4624, -3.9084, -0.57193, 0.259038
0.177766, 5.03719, -31.3891, -3.43, -0.949528, 0.237279
-0.801691, 4.83884, -31.4968, -3.19599, -2.27373, 0.160846
-0.378081, 5.25568, -33.4522, -3.56799, -1.71007, 0.197364
0.493783, 5.45728, -32.6771, -3.71971, -0.522183, 0.283853
