Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.141968, -0.158225, -3.64742, 0.422446, 0.217501, 0.045843
0.116855, -0.192687, -4.30623, 0.453433, 0.152544, 0.006688
0.108287, -0.187842, -5.34842, 0.444739, 0.098304, -0.05265
0.107571, -0.164724, -6.71038, 0.453194, 0.097353, -0.092236
0.015315, -0.221966, -8.50831, 0.581023, -0.014472, -0.146618
-0.103084, -0.164626, -10.1117, 0.382794, -0.156832, -0.25047
-0.155017, -0.115135, -11.2076, 0.227654, -0.214786, -0.257099
-0.184976, -0.110069, -12.0848, 0.176703, -0.303289, -0.233929
-0.270833, -0.15457, -12.6707, 0.184547, -0.503703, -0.18524
-0.339105, -0.175715, -13.3304, 0.269301, -0.735216, -0.113242
-0.398646, -0.26841, -14.1943, 0.550136, -1.01862, -0.042364
-0.487249, -0.381634, -14.6625, 0.905488, -1.17452, -0.017037
-0.485271, -0.424422, -15.3956, 1.02783, -1.1568, 0.113477
-0.52358, -0.475051, -15.8794, 1.11164, -1.10028, 0.148841
-0.538295, -0.461762, -16.1368, 1.06092, -1.02978, 0.177369
-0.527466, -0.447933, -16.5156, 1.007, -0.935168, 0.183419
-0.610765, -0.474802, -17.0353, 1.10365, -0.981356, 0.136332
-0.603218, -0.444823, -17.4308, 0.938384, -0.953951, 0.12995
-0.639304, -0.386761, -17.3083, 0.738834, -1.00765, 0.1545
-0.691066, -0.418591, -17.8286, 0.932569, -1.22953, 0.144333
-0.755012, -0.455223, -18.7934, 0.992986, -1.31177, 0.007871
-0.768951, -0.418903, -18.552, 0.729664, -1.30127, -0.036714
-0.852764, -0.4591, -18.5534, 0.972019, -1.60335, 0.081753
-0.894354, -0.508258, -19.5949, 1.25261, -1.57816, 0.167904
-0.843635, -0.45102, -19.4917, 1.07495, -1.25621, 0.087637
-0.844653, -0.394631, -18.4739, 0.959864, -1.17419, -0.00288
-0.986504, -0.413378, -19.0449, 0.993646, -1.42892, 0.07017
-1.05727, -0.341933, -19.8832, 0.696877, -1.52102, 0.165777
-1.00412, -0.239655, -19.0324, 0.333623, -1.44268, 0.136312
-1.05665, -0.27654, -18.7186, 0.297339, -1.68062, 0.016531
-1.14415, -0.385474, -19.3703, 0.493627, -2.057, -0.045577
-1.10649, -0.356311, -19.4372, 0.419261, -1.94911, -0.035794
-1.05681, -0.343895, -19.4675, 0.460161, -1.91257, 0.048474
-1.15497, -0.470221, -20.0489, 0.909938, -2.26017, 0.105522
-1.19358, -0.532069, -20.5611, 0.976663, -2.33064, 0.121967
-1.10471, -0.478389, -20.0263, 0.787663, -2.04578, 0.163454
-1.08373, -0.507907, -20.0741, 0.832406, -1.82548, 0.189315
-1.03279, -0.5104, -20.3857, 0.689133, -1.57506, 0.08511
-0.989834, -0.43024, -19.6247, 0.478054, -1.51031, 0.056523
-0.973289, -0.438634, -19.3005, 0.624897, -1.84962, 0.101071
-1.0539, -0.567614, -19.7342, 1.03855, -2.17121, 0.025562
-1.01128, -0.582599, -19.8447, 1.02725, -2.09963, -0.041105
-0.981995, -0.55886, -20.0074, 1.00068, -2.02379, -0.090165
-1.01197, -0.628536, -20.7245, 1.02406, -2.1189, 0.037345
-0.918292, -0.575809, -20.4854, 0.694242, -1.73524, 0.114391
-0.759725, -0.464417, -19.0597, 0.465987, -1.24356, 0.069571
-0.673047, -0.48417, -18.5526, 0.571107, -1.14766, -0.028386
-0.747114, -0.623442, -19.2084, 1.03635, -1.55337, -0.05907
-0.796244, -0.665232, -19.5715, 1.41587, -1.72337, 0.079915
-0.810139, -0.680375, -19.7947, 1.5531, -1.68957, 0.15644
-0.86993, -0.741544, -20.5388, 1.65469, -1.78386, 0.063032
-0.875221, -0.727252, -20.8578, 1.45479, -1.83729, -0.030607
-0.812931, -0.627456, -20.461, 0.95865, -1.62948, -0.075783
-0.766711, -0.613075, -20.7103, 0.823889, -1.47507, -0.019343
-0.709291, -0.599075, -20.9624, 0.7755, -1.34457, -0.01382
-0.701771, -0.588445, -20.5878, 0.797123, -1.35526, -0.008069
-0.729685, -0.661731, -20.7961, 1.13097, -1.61859, 0.032841
-0.731122, -0.724803, -21.2308, 1.3861, -1.66681, 0.072246
-0.693577, -0.721194, -20.9565, 1.44896, -1.60146, 0.091362
-0.726531, -0.762126, -21.0638, 1.56082, -1.6112, 0.119794
-0.701609, -0.752854, -21.8317, 1.26759, -1.40822, 0.151461
-0.618305, -0.638966, -21.4791, 0.87618, -0.898759, 0.037761
-0.568569, -0.583187, -20.5115, 0.912495, -0.673686, -0.055137
-0.621671, -0.627824, -20.6042, 1.25691, -0.758193, -0.049649
-0.736522, -0.630097, -21.0092, 1.42175, -0.993518, 0.049228
-0.884413, -0.579098, -21.1969, 1.37335, -1.20166, 0.098136
-0.993016, -0.476003, -21.0013, 1.15014, -1.27912, 0.064446
-1.10813, -0.379853, -20.9901, 0.950906, -1.33087, -0.027063
-1.25646, -0.319021, -21.0676, 0.831813, -1.50706, -0.070011
-1.35793, -0.230565, -21.2194, 0.573195, -1.54271, -0.061093
-1.35594, -0.127461, -20.7665, 0.280188, -1.46059, -0.078764
-1.48868, -0.150988, -20.5785, 0.46383, -1.78067, -0.116777
-1.7109, -0.247069, -21.4005, 0.762406, -2.38106, -0.107604
-1.74397, -0.226063, -21.4536, 0.679751, -2.41665, -0.046219
-1.69663, -0.161907, -21.1104, 0.510248, -2.47946, -0.048638
-1.78999, -0.212502, -21.8105, 0.608557, -3.07172, -0.105978
-1.7888, -0.215889, -22.0852, 0.299402, -3.10668, -0.011774
-1.63666, -0.123303, -21.9141, -0.105085, -2.67292, 0.032515
-1.55814, -0.124579, -21.9269, -0.124558, -2.58021, 0.021289
-1.52514, -0.195949, -22.0368, 0.008995, -2.67471, 0.019637
-1.46347, -0.249078, -21.9257, 0.100444, -2.66933, 0.018672
-1.40807, -0.331442, -22.1094, 0.401879, -2.73697, 0.022647
-1.41106, -0.457324, -22.7986, 0.770544, -2.83458, 0.072942
-1.31031, -0.493613, -22.7863, 0.733536, -2.67257, 0.104858
-1.21683, -0.516119, -22.6005, 0.726669, -2.46938, 0.068241
-1.09406, -0.573995, -22.4279, 0.841415, -2.2541, 0.04691
-0.958986, -0.573502, -21.8446, 0.87482, -1.97847, 0.055453
-0.907739, -0.571275, -21.0452, 1.02924, -1.84464, 0.051797
-0.934788, -0.637928, -20.955, 1.50465, -1.83177, 0.114735
-0.94484, -0.650274, -21.225, 1.4942, -1.69805, 0.199461
-0.91738, -0.546621, -20.6236, 1.28564, -1.54908, 0.155251
-0.991141, -0.549002, -20.8108, 1.30016, -1.79402, 0.042395
-1.06365, -0.584921, -21.3874, 1.18305, -2.1671, -0.0148
-1.0135, -0.513565, -21.1464, 0.769566, -1.98302, -0.024209
-0.893479, -0.428981, -20.629, 0.543909, -1.6482, -0.023061
-0.910247, -0.476151, -20.5795, 0.769123, -1.78925, -0.028836
-0.97863, -0.558759, -21.0195, 1.19807, -2.06404, 0.069876
-0.948932, -0.548041, -21.1028, 1.26422, -1.8134, 0.135854
-0.871634, -0.465563, -20.8248, 1.11192, -1.50103, 0.126817
-0.870436, -0.452171, -20.9316, 1.09283, -1.5079, 0.04484
-0.915074, -0.444571, -21.2324, 0.881904, -1.72657, 0.02299
-0.847254, -0.347247, -20.8227, 0.430243, -1.603, 0.088716
-0.787102, -0.323847, -20.3571, 0.389816, -1.57821, 0.04631
-0.844376, -0.411346, -20.9479, 0.774224, -1.89933, -0.016182
-0.865532, -0.448078, -21.4032, 0.930459, -1.96896, 0.01884
-0.80624, -0.380209, -20.8746, 0.783787, -1.71633, 0.126339
-0.794779, -0.401702, -20.8494, 1.03441, -1.57143, 0.140491
-0.818708, -0.413457, -21.7422, 0.998266, -1.38047, 0.113275
-0.786295, -0.323477, -21.448, 0.704655, -1.08096, 0.125927
-0.789976, -0.295016, -20.5559, 0.779866, -1.07357, 0.131872
-0.898062, -0.311256, -21.0338, 0.94195, -1.37183, 0.120227
-1.03094, -0.323698, -21.6603, 0.989602, -1.65583, 0.057417
-1.08713, -0.30448, -21.8202, 0.908856, -1.81509, 0.105468
-1.14532, -0.288551, -22.1434, 0.764415, -1.97598, 0.154841
-1.12113, -0.224188, -22.4293, 0.246467, -1.90166, 0.084479
-1.06682, -0.199583, -22.0725, 0.050942, -1.72839, -0.012232
-1.05984, -0.215896, -21.68, 0.119219, -1.69073, -0.024866
-1.0683, -0.274279, -21.822, 0.249235, -1.71139, 0.063535
-1.04627, -0.297306, -21.6518, 0.492206, -1.59488, 0.16446
-1.06179, -0.362226, -21.5684, 0.940364, -1.69027, 0.192975
-1.15934, -0.389984, -22.254, 1.05493, -1.9232, 0.180122
-1.19725, -0.355731, -22.5808, 0.898098, -1.83778, 0.099903
-1.14589, -0.250515, -22.2511, 0.487322, -1.59291, 0.016052
-1.12364, -0.220414, -22.0016, 0.182874, -1.7155, -0.025188
-1.17323, -0.274303, -22.1471, 0.219861, -2.07461, -0.010733
-1.10909, -0.280844, -21.9849, 0.237613, -2.09326, 0.042435
-1.07199, -0.293128, -21.8308, 0.308569, -2.08554, 0.078499
-1.01576, -0.340355, -21.6016, 0.437632, -2.07734, 0.045185
-0.981066, -0.392869, -21.3683, 0.613057, -2.05737, 0.000132
-0.942056, -0.438607, -21.1714, 0.787029, -2.04198, 0.038098
-0.951635, -0.459478, -21.4432, 0.857092, -2.00176, 0.111758
-0.909083, -0.404252, -21.5925, 0.533901, -1.76462, 0.095846
-0.830186, -0.349265, -21.0231, 0.32757, -1.39375, -0.011009
-0.820603, -0.410244, -20.7457, 0.607634, -1.32367, -0.077144
-0.87608, -0.488536, -21.2376, 0.990142, -1.41352, -0.025139
-0.930946, -0.507757, -21.5732, 1.12201, -1.4591, 0.053031
-0.952573, -0.499024, -21.5198, 1.19805, -1.56659, 0.074595
-1.06657, -0.561847, -22.1821, 1.36049, -1.75913, 0.013586
-1.08559, -0.524937, -22.8973, 1.08902, -1.61933, -0.036626
-1.05652, -0.424393, -22.3358, 0.645251, -1.42046, -0.024454
-1.01912, -0.392862, -21.5311, 0.660727, -1.36381, -0.037313
-1.05197, -0.449166, -21.4807, 1.08831, -1.51279, -0.041886
-1.1256, -0.479049, -21.5788, 1.31431, -1.86028, -0.006842
-1.24802, -0.499837, -22.2483, 1.35295, -2.22495, 0.067782
-1.341, -0.499947, -23.0564, 1.20108, -2.39923, 0.116272
-1.25664, -0.38989, -22.9557, 0.463443, -2.07496, 0.033393
-1.12766, -0.325983, -22.149, 0.214068, -1.83026, -0.077083
-1.04171, -0.354703, -21.8171, 0.26643, -1.81789, -0.090118
-1.053, -0.446261, -21.6719, 0.474792, -1.99503, -0.057988
-1.03816, -0.489428, -21.8351, 0.679828, -2.09319, -0.026733
-1.02157, -0.545465, -22.1449, 0.903644, -2.16822, 0.1057
-1.0157, -0.638714, -22.3371, 1.19476, -2.21031, 0.086292
-1.02604, -0.729668, -22.8535, 1.4183, -2.18429, 0.077641
-0.989692, -0.708749, -23.0586, 1.30324, -1.97961, 0.128581
-0.945983, -0.670878, -22.7281, 1.16293, -1.66311, 0.19924
-0.912172, -0.652002, -21.935, 1.3467, -1.45426, 0.187057
-0.93332, -0.671568, -21.8229, 1.50767, -1.5024, 0.122594
-1.0029, -0.666763, -22.1381, 1.54151, -1.68665, 0.135551
-1.06039, -0.64393, -22.2801, 1.51981, -1.87325, 0.162306
-1.08744, -0.618702, -22.2121, 1.39089, -2.01682, 0.153798
-1.05358, -0.545829, -22.0307, 1.01717, -2.09453, 0.065972
-1.00139, -0.517903, -21.6711, 0.800255, -2.0915, -0.004757
-1.01834, -0.564714, -22.0813, 0.850748, -2.05258, -0.084697
-0.956916, -0.535747, -22.2121, 0.715915, -1.81862, -0.032194
-0.903306, -0.499056, -21.5326, 0.698772, -1.6755, -0.046816
-0.946349, -0.601909, -21.6951, 1.20909, -1.93772, -0.062817
-1.00007, -0.685366, -22.1589, 1.57078, -2.02317, -0.010127
-0.993404, -0.653131, -22.2762, 1.51512, -1.86974, 0.082143
-0.998703, -0.611415, -22.1224, 1.39619, -1.68658, 0.065551
-1.01295, -0.611181, -22.4713, 1.25647, -1.53361, -0.014664
-0.997388, -0.536399, -21.969, 0.949481, -1.34426, -0.065035
-1.00225, -0.471061, -21.3805, 0.897618, -1.28385, -0.09581
-1.09049, -0.498532, -21.6317, 1.171, -1.49164, -0.065259
-1.23065, -0.520739, -21.8241, 1.27938, -1.7486, -0.00052
-1.28475, -0.45868, -21.9478, 1.19192, -1.8315, 0.060612
-1.39965, -0.400973, -21.9401, 1.1299, -1.96113, 0.040165
-1.56947, -0.374067, -22.6695, 1.097, -2.17249, -0.008552
