Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.537528, -0.127036, -9.66864, -0.294364, 0.360768, 0.071253
0.561175, -0.179788, -9.92284, -0.362548, 0.36346, -0.032657
0.599152, -0.258548, -10.0186, -0.264692, 0.422031, -0.102434
0.68461, -0.352167, -9.40053, -0.135248, 0.55965, -0.119816
0.692223, -0.458453, -9.29669, 0.088061, 0.442526, -0.217931
0.600121, -0.526834, -9.70284, 0.309386, 0.252197, -0.268222
0.553285, -0.563183, -10.0664, 0.505814, 0.095482, -0.201654
0.557534, -0.567877, -10.4918, 0.603439, 0.041466, -0.077862
0.525725, -0.535695, -10.7486, 0.583088, 0.010363, 0.050075
0.515551, -0.474245, -11.1274, 0.482002, 0.099187, 0.151277
0.573759, -0.465787, -11.5188, 0.407725, 0.238425, 0.147923
0.659953, -0.445453, -11.6278, 0.352538, 0.50386, 0.090981
0.695052, -0.43715, -11.5849, 0.224724, 0.590397, -0.01757
0.652531, -0.455546, -11.8972, 0.177588, 0.472808, -0.124787
0.681217, -0.484257, -11.8407, 0.2316, 0.541109, -0.123859
0.674219, -0.488261, -11.7157, 0.349284, 0.533045, -0.135484
0.620248, -0.511835, -12.2527, 0.570126, 0.391126, -0.084002
0.631667, -0.490809, -12.4736, 0.604678, 0.416855, -0.059793
0.659611, -0.419579, -12.3899, 0.514651, 0.484904, 0.026259
0.681666, -0.324633, -13.0384, 0.352234, 0.489321, 0.061533
0.661995, -0.256374, -13.8753, 0.123136, 0.474029, 0.133759
0.649198, -0.226743, -13.4512, 0.033335, 0.470896, 0.120811
0.632951, -0.220485, -13.496, 0.114425, 0.312748, -0.010574
0.656808, -0.206659, -13.9702, 0.032009, 0.241065, -0.126984
0.606177, -0.207897, -13.8635, -0.042204, 0.171261, -0.128628
0.575085, -0.214341, -13.7289, 0.059129, 0.070853, -0.082995
0.564506, -0.189387, -14.0085, 0.112309, 0.114025, -0.074503
0.576842, -0.108276, -14.4158, 0.012941, 0.271823, -0.055188
0.62582, -0.020914, -14.5358, -0.162016, 0.420336, 0.038136
0.593751, 0.041901, -14.9302, -0.332916, 0.37888, 0.076316
0.604517, 0.090666, -15.0896, -0.49559, 0.422164, 0.100012
0.637537, 0.088933, -14.8384, -0.67351, 0.52701, 0.035953
0.611073, 0.027243, -14.903, -0.725591, 0.421029, -0.070275
0.638873, -0.088492, -14.9014, -0.57867, 0.386199, -0.130412
0.630135, -0.255127, -14.2961, -0.318571, 0.34372, -0.150154
0.646606, -0.412821, -13.7341, -0.000225, 0.312744, -0.217968
0.697057, -0.509482, -13.6378, 0.18525, 0.36714, -0.183898
0.711742, -0.55717, -13.4055, 0.343181, 0.316412, -0.101818
0.672383, -0.56623, -13.675, 0.607709, 0.215007, -0.06094
0.690161, -0.503845, -14.0649, 0.609221, 0.35753, 0.073524
0.684455, -0.397113, -14.2667, 0.449883, 0.426926, 0.104804
0.709719, -0.296268, -14.83, 0.265235, 0.538237, 0.096391
0.76333, -0.238799, -14.898, 0.050529, 0.736395, 0.092671
0.795806, -0.212501, -14.4385, -0.108845, 0.883773, -0.010099
0.812555, -0.224277, -14.5247, -0.200242, 0.809594, -0.072905
0.739416, -0.29331, -14.686, -0.183418, 0.56244, -0.123858
0.674353, -0.372566, -14.399, -0.005879, 0.371532, -0.138696
0.676497, -0.389782, -14.2195, 0.189868, 0.291868, -0.165352
0.710231, -0.385041, -14.3665, 0.387803, 0.358095, -0.104616
0.707411, -0.320228, -14.551, 0.368513, 0.393003, -0.058236
0.658671, -0.201999, -15.0645, 0.197446, 0.437736, 0.070177
0.667392, -0.04701, -15.6776, -0.068272, 0.485938, 0.098466
0.666604, 0.102282, -15.7851, -0.326372, 0.487695, 0.049364
0.602224, 0.246537, -16.1552, -0.582835, 0.418166, 0.032982
0.618901, 0.3569, -16.6515, -0.883826, 0.521096, 0.069624
0.672053, 0.406791, -16.5376, -1.06066, 0.631466, 0.081927
0.629581, 0.395256, -16.0391, -0.990622, 0.472057, 0.021779
0.528385, 0.405079, -16.2218, -0.971704, 0.027915, -0.086706
0.521898, 0.413258, -16.221, -1.05697, -0.017921, -0.126006
0.532892, 0.409896, -15.9337, -1.00567, -0.010726, -0.073349
0.541906, 0.41336, -15.8884, -1.02253, -0.028618, -0.028481
0.542978, 0.435965, -15.8602, -1.0779, 0.000353, 0.073563
0.576025, 0.443178, -15.9162, -1.17167, 0.211216, 0.120578
0.666908, 0.427368, -15.8274, -1.26239, 0.471529, 0.086368
0.665452, 0.413087, -15.9381, -1.3681, 0.422173, 0.013973
0.644675, 0.346816, -15.6895, -1.27991, 0.316472, -0.068085
0.598741, 0.247149, -15.5813, -1.12695, 0.249969, -0.140083
0.622838, 0.150077, -15.6211, -0.964009, 0.252192, -0.164449
0.639946, 0.04205, -15.3348, -0.775593, 0.32286, -0.189027
0.663739, -0.061248, -14.8125, -0.573221, 0.376575, -0.195949
0.736391, -0.104312, -14.7939, -0.43837, 0.528421, -0.186978
0.796753, -0.104468, -14.7027, -0.295789, 0.729114, -0.076004
0.766331, -0.085548, -15.0814, -0.098503, 0.619406, -0.039105
0.76523, -0.042799, -15.608, -0.307837, 0.577992, 0.122823
0.778095, -0.021956, -15.363, -0.47868, 0.641882, 0.130532
0.765097, -0.029759, -15.1615, -0.584935, 0.563894, -0.022605
0.757907, -0.075507, -15.3812, -0.57062, 0.58614, -0.129532
0.774983, -0.125934, -15.492, -0.490383, 0.632956, -0.14956
0.741229, -0.15469, -15.348, -0.266932, 0.492197, -0.15968
0.706275, -0.146839, -15.2544, 0.015546, 0.417068, -0.083623
0.738776, -0.05273, -15.6471, -0.092, 0.559397, -0.040541
0.745283, 0.058919, -15.8765, -0.322585, 0.678438, 0.114023
0.731545, 0.153643, -16.2954, -0.591015, 0.670848, 0.165747
0.764592, 0.200673, -16.9575, -0.841117, 0.742752, 0.150285
0.799161, 0.146377, -16.2085, -0.95198, 0.810519, -0.000238
0.767158, 0.001908, -15.551, -0.753846, 0.596391, -0.114041
0.75084, -0.179497, -15.5229, -0.451509, 0.472651, -0.207928
0.710441, -0.31212, -15.3256, -0.108277, 0.424794, -0.295651
0.711019, -0.365441, -15.103, 0.061136, 0.328439, -0.206817
0.703859, -0.371617, -15.3327, 0.282563, 0.273148, -0.086874
0.725596, -0.312097, -15.6018, 0.269135, 0.484093, 0.061303
0.798671, -0.190144, -15.9298, 0.059258, 0.713607, 0.146876
0.817854, -0.093181, -16.1055, -0.082832, 0.800015, 0.087942
0.804767, -0.012852, -16.4926, -0.184233, 0.765746, 0.007096
0.782168, 0.046746, -16.4516, -0.298988, 0.715199, -0.022679
0.693793, 0.051736, -16.788, -0.41569, 0.498107, -0.040532
0.675529, 0.032919, -17.0793, -0.747766, 0.466459, -0.054825
0.72043, -0.064963, -16.3648, -0.620966, 0.634864, -0.08416
0.80474, -0.154011, -15.7796, -0.480222, 0.762557, -0.132671
0.862707, -0.244481, -15.5597, -0.330822, 0.789828, -0.141991
0.765819, -0.30519, -15.6344, -0.12795, 0.485944, -0.141508
0.738432, -0.346388, -16.117, 0.15218, 0.299743, -0.103155
0.724382, -0.327881, -16.3978, 0.303253, 0.381612, -0.0723
0.720214, -0.250404, -16.4737, 0.221615, 0.416016, -0.017774
0.733596, -0.167277, -16.7786, 0.084474, 0.534412, 0.076589
0.779655, -0.086003, -16.5822, -0.106432, 0.750612, 0.104713
0.778131, -0.014345, -16.4556, -0.193083, 0.723073, 0.034477
0.707617, 0.032562, -16.6381, -0.266967, 0.571186, -0.021478
0.664744, 0.063293, -16.9252, -0.365749, 0.542949, -0.055716
0.721872, 0.093526, -16.9141, -0.511084, 0.739669, -0.048776
0.741943, 0.105413, -16.8435, -0.631907, 0.754247, -0.021033
0.692071, 0.090026, -16.8387, -0.76603, 0.515518, 0.010235
0.696478, 0.056019, -16.7638, -0.773375, 0.519148, -0.0652
0.754503, 0.013496, -16.5799, -0.708574, 0.607006, -0.123661
0.746487, -0.050431, -16.4121, -0.587748, 0.482559, -0.135162
0.68522, -0.108733, -16.4997, -0.426154, 0.311667, -0.15126
0.705621, -0.123525, -16.7076, -0.404524, 0.373688, -0.08818
0.773455, -0.132768, -16.5024, -0.44285, 0.608486, -0.063525
0.744409, -0.154234, -16.4631, -0.34456, 0.447684, -0.054331
0.71885, -0.150743, -16.5791, -0.115364, 0.364493, 0.017639
0.769251, -0.134297, -16.5864, -0.065433, 0.675439, -0.009405
0.810913, -0.104151, -16.4475, -0.097865, 0.821887, -0.07143
0.763954, -0.092014, -16.5647, -0.104397, 0.650146, -0.018577
0.707051, -0.085571, -16.8577, -0.173276, 0.453102, 0.014829
0.754738, -0.077733, -17.0237, -0.42787, 0.689419, 0.039916
0.814025, -0.104942, -16.6757, -0.561637, 0.754048, -0.030061
0.749148, -0.161955, -16.36, -0.401022, 0.443567, -0.111146
0.707769, -0.225483, -16.3632, -0.233293, 0.325844, -0.130177
0.767407, -0.230351, -16.6016, -0.139579, 0.537268, -0.160729
0.827917, -0.221448, -16.4228, 0.0488, 0.797437, -0.09356
0.757207, -0.187941, -16.7093, 0.130989, 0.621786, -0.061868
0.76584, -0.126486, -17.139, -0.032686, 0.766497, 0.034234
0.82158, -0.067011, -17.152, -0.267001, 0.943458, 0.06381
0.835709, -0.058045, -16.9768, -0.404979, 0.929864, 0.003854
0.771386, -0.081129, -16.9905, -0.535584, 0.681251, -0.073169
0.757296, -0.130369, -16.9042, -0.492369, 0.584909, -0.106423
0.792036, -0.197938, -16.6805, -0.388332, 0.616036, -0.120741
0.758952, -0.270742, -16.7319, -0.204933, 0.435715, -0.139734
0.723149, -0.308151, -16.7215, -0.086541, 0.399982, -0.160321
0.792602, -0.308112, -16.5786, 0.016902, 0.655096, -0.149049
0.8636, -0.29029, -16.4038, 0.227434, 0.849366, -0.08988
0.796791, -0.238671, -16.4649, 0.236084, 0.577492, -0.050314
0.713372, -0.167615, -17.0795, 0.125556, 0.46202, 0.022679
0.724, -0.053392, -17.4844, -0.03349, 0.573458, -0.015251
0.729926, 0.059884, -17.5093, -0.260768, 0.650277, 0.013054
0.707613, 0.176337, -17.592, -0.474205, 0.6449, 0.061407
0.698275, 0.271376, -18.162, -0.758878, 0.719263, 0.118673
0.773321, 0.299134, -17.6192, -0.971587, 0.796941, 0.137017
0.733764, 0.255027, -17.1066, -1.05022, 0.705607, 0.012583
0.712427, 0.210352, -17.0464, -0.993406, 0.474441, -0.119007
0.689641, 0.133061, -16.9838, -0.823777, 0.324005, -0.164267
0.619235, 0.06861, -17.0457, -0.657881, 0.179881, -0.199306
0.611001, 0.005279, -17.4477, -0.60412, 0.129654, -0.10984
0.679123, -0.024718, -17.1657, -0.620236, 0.369673, -0.081564
0.733766, -0.069358, -16.7764, -0.583274, 0.494692, -0.049596
0.7689, -0.086838, -16.5219, -0.539702, 0.551523, -0.016169
0.734994, -0.119279, -16.4894, -0.451195, 0.443396, -0.120784
0.709814, -0.13939, -16.583, -0.212925, 0.285481, -0.135596
0.678115, -0.129192, -16.8105, -0.078976, 0.312485, -0.155351
0.700639, -0.089065, -16.9384, -0.101524, 0.591039, -0.084355
0.753457, -0.040956, -16.9571, -0.254057, 0.856655, -0.048902
0.774607, 0.00948, -16.9913, -0.383918, 0.865064, 0.069072
