Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
1.30522, 0.828421, -12.333, -1.76695, 1.498, 0.115391
1.36756, 0.946526, -12.9635, -2.07569, 1.50574, -0.078107
1.34588, 0.96732, -13.0584, -2.00123, 1.33169, -0.197271
1.56828, 1.11935, -14.4407, -2.2067, 1.47626, -0.235744
1.76845, 1.34435, -15.5372, -2.50146, 1.60749, -0.164406
1.85364, 1.39198, -15.5675, -2.47926, 1.61397, -0.066724
2.15843, 1.50143, -16.3678, -2.53732, 1.85559, 0.057416
2.3371, 1.74122, -16.7356, -2.81346, 1.99401, 0.206448
2.29816, 1.7866, -16.1853, -2.71133, 1.83334, 0.21313
2.52515, 1.92099, -16.7168, -2.9264, 1.83428, 0.045457
2.74317, 2.20568, -17.4269, -3.51319, 1.92592, -0.005809
2.77755, 2.31056, -17.1394, -3.69712, 1.84864, -0.061392
2.92678, 2.28293, -17.448, -3.54921, 2.03126, -0.165321
3.12514, 2.41913, -18.1092, -3.73896, 2.27634, 0.065888
3.0967, 2.5161, -18.0479, -3.77755, 2.56048, 0.226316
3.1347, 2.55715, -18.4669, -3.73411, 3.0088, 0.337621
3.20262, 2.67925, -19.1919, -4.08398, 3.52949, 0.368303
2.96064, 2.79701, -19.1588, -4.48763, 3.69884, 0.385159
2.72526, 2.82307, -19.5203, -4.76739, 3.75471, 0.191665
2.49714, 2.89083, -20.0164, -5.23849, 3.64629, 0.034677
2.00669, 2.84304, -19.7775, -5.36295, 3.08946, -0.079492
1.53687, 2.78454, -20.0703, -5.25624, 2.39777, -0.166577
1.07597, 2.61691, -20.3291, -4.9184, 1.58648, -0.158198
0.45843, 2.46467, -19.8999, -4.63261, 0.601512, -0.107219
-0.090857, 2.38746, -19.9528, -4.44462, -0.353222, -0.053018
-0.729631, 2.41541, -20.447, -4.4556, -1.43078, 0.013761
-1.31825, 2.26094, -19.5181, -4.04911, -2.06864, 0.089354
-1.827, 2.05731, -18.4614, -3.55184, -2.30075, 0.052109
-2.2262, 1.8756, -17.6343, -2.94739, -2.23452, -0.050495
-2.52449, 1.59738, -16.5365, -2.16329, -1.84462, -0.213443
-2.75187, 1.48416, -15.8651, -1.6259, -1.34732, -0.359428
-2.93976, 1.35328, -15.9835, -0.939676, -0.975875, -0.386441
-3.01615, 1.22399, -15.6198, -0.461709, -0.500712, -0.236841
-2.94092, 1.11249, -14.8402, -0.360604, -0.51773, 0.092503
-3, 1.17531, -14.8465, -0.688657, -1.38488, 0.248973
-3.15735, 1.30702, -15.5428, -1.24102, -2.81682, 0.167978
-3.0794, 1.39931, -15.7275, -1.88182, -4.05774, -0.020903
-2.87336, 1.52241, -16.0962, -2.42001, -4.55659, 0.067964
