Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.143462, -0.319749, -1.45497, -0.179131, -0.599425, 0.054925
0.101718, -0.363295, -1.47874, -0.150633, -0.668628, 0.048773
0.09339, -0.345445, -1.61324, -0.146556, -0.682628, 0.065904
0.056115, -0.337821, -1.82841, -0.144278, -0.735767, 0.068981
0.071009, -0.344038, -1.8708, -0.122681, -0.706894, 0.063638
0.196308, -0.282697, -1.73607, -0.161435, -0.543723, 0.01659
0.423996, -0.23656, -1.77433, -0.172578, -0.302979, -0.013163
0.815975, -0.224371, -2.31745, -0.108479, 0.035975, -0.013723
1.08567, -0.167768, -3.39715, -0.058663, 0.171672, 0.006986
0.570753, -0.018358, -5.89628, -0.014428, -0.446485, 0.062067
-0.670757, 0.023765, -10.7649, 0.260268, -2.05817, 0.246103
-0.242714, 0.669164, -13.4451, 0.117521, -2.28754, 0.320099
-0.007041, 2.30861, -14.8913, -0.821816, -2.66943, 0.071054
-0.599887, 3.76675, -16.1483, -1.78361, -3.23137, -0.153803
-1.43115, 4.55806, -18.1307, -2.27522, -3.20395, -0.004736
-2.19675, 4.27224, -21.2413, -1.99984, -3.88955, 0.259734
-2.95171, 3.79486, -23.2921, -1.64592, -4.52424, 0.259676
-3.56701, 4.04874, -23.8396, -1.83134, -4.12429, 0.206598
-4.14919, 4.54157, -23.4984, -2.1923, -4.25065, 0.317688
-4.18576, 4.82011, -25.1255, -2.35996, -4.22349, 0.204413
-4.79907, 4.08541, -27.2323, -1.87698, -5.00867, 0.073832
-5.75867, 3.98642, -27.6283, -1.90208, -5.46624, 0.188263
-6.51717, 4.26875, -28.8022, -2.05439, -5.83225, 0.308889
-7.37386, 4.46022, -30.0449, -2.17724, -6.94705, 0.158034
-7.78942, 4.3479, -30.9323, -2.33015, -7.21706, 0.446654
-8.84303, 3.96733, -31.3234, -2.30634, -7.67665, 0.864178
-9.44379, 4.27692, -31.0687, -2.46294, -8.60665, 0.938743
-9.3878, 5.56533, -31.2171, -3.09986, -9.02171, 0.602825
-9.52075, 5.56735, -31.4261, -2.79943, -9.27667, 0.369784
-9.26304, 5.36926, -32.1367, -2.54344, -8.69421, 0.198286
-8.97551, 5.60701, -32.5402, -2.68424, -7.74055, 0.076261
-9.43977, 5.07044, -34.6996, -2.04388, -7.81488, 0.01353
-9.8399, 5.07299, -35.8067, -1.8228, -8.53244, -0.285068
-10.0253, 5.1759, -33.1926, -2.18508, -8.75108, -0.121742
-10.9919, 5.11135, -34.9386, -2.6479, -8.25551, 0.509023
-12.1796, 4.35033, -35.8397, -1.9354, -10.2312, 0.512768
-12.262, 4.6884, -35.2734, -1.87363, -11.7044, -0.115064
-11.5453, 5.3903, -33.0808, -2.50378, -10.518, 0.124964
-11.3075, 5.42703, -35.7954, -2.53958, -9.31243, 0.474947
-11.7971, 4.88511, -36.6973, -1.84732, -10.4123, 0.041162
-11.3211, 5.17865, -35.1018, -1.95201, -10.5721, -0.304195
-11.8902, 5.0847, -34.6784, -2.16725, -10.1557, -0.05039
-11.6614, 5.24561, -35.8591, -2.3714, -9.0966, 0.246358
-11.8118, 5.68107, -34.7919, -2.55602, -10.2167, 0.096819
-12.8078, 4.93715, -34.7044, -1.9889, -11.8461, 0.094436
-13.61, 4.49565, -35.8848, -2.03193, -11.3236, 0.267326
-12.7813, 4.77879, -36.3224, -2.5014, -9.43138, 0.598602
-13.0134, 4.83009, -36.6435, -2.25256, -10.532, 0.422682
-13.8803, 4.49622, -36.0496, -1.47696, -12.9852, -0.212756
-13.0138, 4.48929, -34.7696, -1.32852, -12.46, -0.620612
-12.1302, 5.2665, -34.6602, -2.31394, -10.0703, -0.524663
-12.9324, 4.67097, -36.2561, -1.82766, -10.185, -0.029813
-13.0659, 4.57257, -35.4743, -1.46351, -11.6833, -0.795975
-12.4774, 5.10574, -35.0606, -1.85523, -12.2181, -0.637556
-12.781, 4.55533, -35.5933, -1.6971, -11.6443, -0.136305
-13.7424, 4.93096, -34.7054, -2.35548, -11.059, -0.124549
-14.1784, 4.85425, -34.0022, -2.19745, -12.179, 0.068492
-13.8609, 4.75493, -35.879, -1.68271, -13.0648, -0.413118
-12.8202, 5.60186, -37.5635, -2.30122, -10.975, -0.959179
-12.2804, 6.1832, -34.9111, -3.187, -8.66524, -0.698688
-12.8206, 5.88576, -34.0746, -2.70515, -9.44765, -0.740183
-13.2801, 4.47081, -38.1695, -1.05967, -11.6018, -1.72718
-12.3578, 3.84451, -40.0239, -0.27984, -12.1636, -1.72701
-11.6737, 5.14166, -37.1843, -1.69171, -10.695, -1.11691
-13.6983, 5.05377, -35.7196, -2.2087, -11.1772, -0.447018
-14.2933, 3.99762, -36.9025, -1.1065, -12.9951, -0.555658
-12.4377, 4.71244, -37.7785, -1.40025, -12.7886, -1.24351
-11.9337, 4.30154, -39.0025, -1.19784, -11.2797, -0.67363
-12.8209, 4.5743, -37.3173, -1.96985, -9.79742, -0.422317
-12.5792, 5.12379, -36.8843, -2.30384, -9.93438, -0.32221
-11.8425, 4.29024, -37.6332, -1.27789, -11.6547, -0.836539
-11.2094, 4.2058, -36.671, -1.03378, -12.2772, -0.858009
-12.0984, 4.79153, -34.9463, -1.83673, -11.8012, -0.556698
-12.5595, 4.87472, -35.5728, -2.42321, -10.9222, -0.207196
-11.1603, 4.30062, -38.0617, -1.8719, -10.4742, -0.303692
-10.5472, 4.00689, -36.9842, -1.33513, -11.8876, -0.701616
-10.8496, 4.70565, -35.9223, -2.07614, -10.7752, -0.632203
-11.1405, 5.00787, -37.3146, -2.65824, -9.69899, -0.150824
-10.0689, 5.13055, -36.7437, -2.51264, -10.6826, -0.290784
-9.95383, 5.53033, -35.3361, -2.45664, -12.6181, -0.58138
-11.0457, 4.73708, -36.5871, -1.7007, -13.4448, -0.568227
-10.2317, 4.94927, -37.2471, -2.13288, -10.6981, -0.752585
-9.71812, 5.32138, -35.8634, -2.85662, -9.60248, -0.313934
-10.1797, 4.03256, -37.9471, -1.76452, -10.6288, -0.180107
-9.78591, 4.01623, -37.7478, -1.43237, -11.0977, -0.560509
-8.4672, 5.14524, -35.6905, -2.56528, -9.04173, -0.466355
-10.3355, 4.86794, -34.1423, -2.44092, -10.6465, -0.117064
-10.7452, 4.36924, -35.6626, -1.81982, -12.2453, -0.737553
-8.88704, 4.33656, -35.6171, -1.53915, -11.95, -0.653212
-7.63929, 4.85625, -34.1156, -2.06179, -9.96013, -0.364793
-9.26949, 4.911, -33.6327, -2.6213, -8.6473, -0.394782
-9.21869, 4.94985, -34.5194, -2.62624, -8.57785, 0.014623
-8.05654, 5.01946, -34.8297, -2.24608, -9.74741, -0.39979
-9.13495, 4.21971, -34.3119, -1.55525, -10.8834, -0.773201
-11.5917, 3.5166, -33.4486, -1.53876, -10.6498, -0.793683
-10.715, 3.85913, -33.3305, -2.26634, -8.51133, -0.470018
-8.87769, 3.76102, -35.6838, -1.84061, -8.54049, -0.403218
-8.69639, 3.89371, -34.8167, -1.47629, -9.67661, -0.774708
-9.83939, 4.44634, -34.3859, -2.09193, -9.29736, -0.860752
-9.37181, 4.78878, -36.005, -2.80384, -7.83378, -0.287702
-8.25524, 5.24606, -34.8745, -2.77409, -8.85483, -0.003799
-9.70618, 5.50135, -34.2038, -2.45792, -11.3493, -0.775629
-10.6164, 4.69979, -34.8996, -1.93191, -10.2094, -1.09851
-8.40749, 5.15053, -35.6208, -2.66547, -6.55536, -0.896467
-8.31018, 4.25032, -37.5312, -1.81208, -7.8526, -0.932901
-10.7395, 3.38019, -36.4751, -0.724996, -11.6414, -1.35908
-11.0048, 4.09153, -34.4513, -1.54244, -10.8967, -1.39906
-10.0459, 4.31041, -33.5943, -2.1177, -8.86594, -0.523952
-10.46, 3.79473, -34.06, -1.33214, -10.4324, -0.420154
-11.6083, 4.14119, -33.7526, -1.20175, -12.8767, -1.48122
-11.117, 3.51018, -32.7117, -0.814651, -11.3914, -1.2384
-9.7387, 3.87564, -33.7683, -1.52759, -8.0407, -0.893171
-10.0983, 3.53843, -35.6283, -1.298, -8.1024, -0.693324
-9.90752, 3.57901, -35.0574, -1.26015, -8.85163, -0.839976
-9.65431, 3.59113, -34.1882, -1.20714, -9.19084, -0.691913
-9.92494, 3.64829, -34.2338, -1.51041, -8.64186, -0.682812
-11.2617, 2.57332, -35.5963, -0.71903, -9.47639, -0.706814
-10.1645, 2.90315, -36.4079, -0.876344, -9.03738, -0.804412
-8.9109, 3.23624, -34.0262, -0.855932, -9.39644, -0.777389
-9.85432, 3.81479, -33.6082, -1.5446, -9.16667, -0.952243
-11.0634, 2.95949, -35.258, -1.20743, -8.64381, -0.813958
-9.9114, 2.61702, -35.3626, -0.671273, -9.09855, -0.84349
-8.4809, 3.13465, -34.9836, -0.792036, -9.18376, -0.955126
-10.3338, 2.95151, -35.5736, -0.834713, -9.72884, -1.00417
-11.6432, 3.14395, -34.4168, -1.2921, -10.0901, -1.03525
-10.5405, 3.65086, -32.8528, -1.57041, -9.97951, -0.929966
-10.0633, 3.12118, -33.5603, -0.721288, -10.8341, -1.11436
-11.0352, 3.04094, -34.8869, -0.587913, -11.1064, -1.54237
-10.6503, 3.52825, -34.8992, -1.26315, -9.59239, -1.45385
-11.1835, 2.47483, -34.5189, -0.223317, -11.878, -1.37159
