Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
1.36315, -0.348045, -10.9623, 0.487616, 1.06686, -0.159678
1.34545, -0.390194, -10.7859, 0.612735, 1.22407, -0.210178
1.31639, -0.416658, -10.7248, 0.731837, 1.29763, -0.203958
1.29875, -0.430377, -10.7709, 0.860969, 1.32916, -0.216907
1.26453, -0.446014, -10.8545, 0.911769, 1.28748, -0.196227
1.21696, -0.461834, -11.0016, 0.866576, 1.16066, -0.128692
1.21, -0.476102, -11.1295, 0.866292, 0.906054, -0.109248
1.22928, -0.499241, -11.2653, 0.961695, 0.770754, -0.088536
1.2725, -0.529643, -11.464, 1.03671, 0.783954, -0.075041
1.30947, -0.543683, -11.6835, 1.08783, 0.88406, -0.074995
1.39606, -0.526031, -11.7296, 0.930913, 1.32549, -0.082056
1.37433, -0.563072, -11.6878, 0.927756, 1.42372, -0.103048
1.30743, -0.583462, -11.4433, 0.92994, 1.41258, -0.164101
1.23167, -0.605983, -11.2112, 1.01619, 1.36767, -0.173603
1.16174, -0.625285, -11.0173, 1.10599, 1.31354, -0.175013
1.10999, -0.635921, -10.8796, 1.2656, 1.23626, -0.181324
1.04432, -0.65459, -11.0961, 1.60194, 0.943297, -0.142739
1.05754, -0.625722, -11.3814, 1.66751, 0.834128, -0.040552
1.10854, -0.589631, -11.7635, 1.65029, 0.856042, -0.005559
1.18267, -0.529523, -12.0517, 1.57984, 0.894357, 0.015073
1.29489, -0.476301, -12.385, 1.47482, 0.971515, 0.011575
1.3819, -0.433352, -12.5774, 1.34769, 1.02325, 0.009185
1.44343, -0.393484, -12.5819, 1.2387, 1.05436, 0.022021
1.51441, -0.372632, -12.6189, 1.16364, 1.09096, 0.019369
1.5538, -0.355243, -12.5379, 1.16844, 1.1353, -0.035742
1.59661, -0.330818, -12.5243, 1.20863, 1.28625, -0.044344
1.65642, -0.27842, -12.5926, 1.23416, 1.5025, -0.009991
1.67139, -0.233343, -12.5643, 1.19603, 1.62535, 0.018962
1.67691, -0.192222, -12.702, 1.13076, 1.73961, 0.014409
1.72131, -0.146601, -12.9288, 1.06386, 1.94493, -0.003264
1.69909, -0.105165, -13.0781, 0.99748, 2.07657, 0.005616
1.65556, -0.049622, -13.248, 0.865267, 2.15238, 0.005902
1.5915, -0.015639, -13.6418, 0.695404, 2.19302, -0.01644
1.45097, -0.043927, -13.6927, 0.58345, 2.00261, -0.062586
1.24683, -0.156654, -13.4549, 0.676288, 1.65098, -0.135992
1.03275, -0.329253, -13.1818, 0.884967, 1.25966, -0.199331
0.805136, -0.504429, -12.6081, 1.04543, 0.882011, -0.233418
0.602225, -0.650889, -11.9564, 1.0976, 0.592366, -0.336961
0.461344, -0.784258, -11.6922, 1.18076, 0.446496, -0.383955
0.343617, -0.881543, -11.847, 1.39653, 0.266334, -0.372028
0.255643, -0.944558, -12.3312, 1.91828, 0.106003, -0.187692
0.179456, -0.939632, -12.9837, 2.15341, -0.122697, -0.089502
0.177463, -0.846972, -13.3825, 2.11039, -0.113855, -0.073731
0.100507, -0.766898, -13.7308, 1.93123, -0.153043, -0.040826
-0.025685, -0.694873, -13.674, 1.63833, -0.225294, -0.154826
-0.165945, -0.675331, -13.4546, 1.41711, -0.371924, -0.231748
-0.320165, -0.668714, -13.0826, 1.26848, -0.480948, -0.253134
-0.433193, -0.665788, -12.5392, 1.19254, -0.549106, -0.26792
-0.576345, -0.689685, -12.3801, 1.30757, -0.87708, -0.326427
-0.663014, -0.727539, -12.7722, 1.71513, -1.32262, -0.247849
-0.684434, -0.727877, -13.408, 1.86995, -1.75002, -0.116991
-0.595424, -0.686206, -13.8102, 1.84928, -1.82805, -0.083327
-0.462196, -0.635644, -13.9801, 1.74487, -1.72656, -0.068218
-0.279454, -0.617854, -13.9938, 1.58893, -1.4633, -0.066705
-0.081994, -0.659078, -13.6838, 1.50773, -1.13527, -0.102131
0.149577, -0.72972, -13.3025, 1.51438, -0.78246, -0.111868
0.405648, -0.810469, -12.754, 1.47432, -0.46073, -0.112866
0.640231, -0.872532, -12.0694, 1.39844, -0.246059, -0.068221
0.900926, -0.946053, -11.8706, 1.36073, -0.169101, -0.057561
1.15888, -1.00447, -12.0033, 1.42607, -0.033638, -0.029787
1.36349, -1.01707, -11.8604, 1.48172, 0.075343, 0.075348
1.53095, -0.998454, -11.8547, 1.63376, 0.240282, 0.156807
1.69067, -0.933029, -11.9487, 1.86596, 0.614784, 0.207688
1.80484, -0.800681, -11.966, 1.96503, 1.10193, 0.128785
1.90586, -0.640525, -12.2772, 1.91247, 1.56785, 0.076339
1.93588, -0.438211, -12.5661, 1.68119, 1.92175, 0.052796
1.88583, -0.231854, -12.8079, 1.38147, 2.13735, 0.056014
1.86342, -0.027014, -13.1895, 1.01774, 2.20784, 0.106421
1.80341, 0.162791, -13.4385, 0.694107, 2.20108, 0.128648
1.73657, 0.299893, -13.3611, 0.403074, 2.09812, 0.133796
1.69268, 0.362725, -13.3301, 0.274454, 1.92218, 0.099305
1.64837, 0.367731, -13.3356, -0.00853, 1.5103, -0.037578
1.6857, 0.292507, -13.1354, -0.105453, 1.48807, -0.077976
1.73398, 0.190626, -12.7996, -0.027645, 1.36023, -0.129806
1.79281, 0.108333, -12.4989, 0.102637, 1.15187, -0.144354
1.86135, 0.071015, -12.1706, 0.224517, 0.938487, -0.171899
1.93761, 0.086582, -11.9354, 0.344128, 0.786275, -0.114791
2.03304, 0.150103, -11.9037, 0.456175, 0.781484, -0.047499
2.0974, 0.263431, -11.7848, 0.56622, 0.855257, 0.059783
2.14333, 0.406198, -11.5931, 0.531274, 1.09993, 0.303584
2.22592, 0.542994, -11.6714, 0.507483, 1.4119, 0.373583
2.22929, 0.704245, -11.7468, 0.310371, 1.68222, 0.33118
2.18985, 0.806552, -11.7577, 0.102482, 1.9048, 0.276112
2.09023, 0.851945, -11.3484, -0.212435, 2.05769, 0.184565
1.97984, 0.847718, -11.0992, -0.548971, 2.1383, 0.127337
1.90388, 0.77641, -10.9473, -0.681154, 2.13925, 0.076629
1.81231, 0.665815, -10.8864, -0.683078, 2.10604, -0.021998
1.74799, 0.54021, -10.7701, -0.619919, 1.96497, -0.092171
1.6964, 0.40027, -10.6896, -0.481773, 1.79475, -0.162362
1.64183, 0.269681, -10.4753, -0.33411, 1.62471, -0.190269
1.58836, 0.166189, -10.289, -0.198614, 1.48377, -0.202128
1.5828, 0.123618, -9.9857, -0.064828, 1.48156, -0.175231
1.56579, 0.105602, -9.75844, 0.410971, 1.41329, -0.100444
1.55111, 0.160465, -9.66124, 0.587209, 1.41912, -0.010083
1.57471, 0.285483, -9.88864, 0.547784, 1.44363, 0.028353
1.5794, 0.438195, -10.03, 0.353134, 1.45223, 0.155431
1.57413, 0.596109, -10.0965, 0.14759, 1.38321, 0.210684
1.58294, 0.722666, -10.3161, -0.028061, 1.34638, 0.255153
1.59578, 0.817012, -10.5098, -0.207817, 1.39404, 0.285309
1.65159, 0.875697, -10.5982, -0.422081, 1.58071, 0.27244
1.66669, 0.897263, -10.6223, -0.659588, 1.79157, 0.165077
1.61986, 0.882884, -10.4588, -0.790601, 1.83046, 0.028779
1.55594, 0.834972, -10.2551, -0.792747, 1.82959, -0.061661
1.50892, 0.773193, -10.1383, -0.779357, 1.84807, -0.075674
1.4391, 0.730871, -10.0018, -0.721492, 1.76476, -0.124281
1.39886, 0.704678, -9.85852, -0.716462, 1.65883, -0.129281
1.34266, 0.672562, -9.87211, -0.695866, 1.4039, -0.141952
1.30526, 0.642046, -9.82227, -0.581149, 1.10645, -0.126492
1.33897, 0.618874, -9.8994, -0.428924, 0.949246, -0.102679
1.39223, 0.616294, -9.92689, -0.345184, 0.879087, -0.085148
1.44594, 0.621982, -9.91281, -0.337551, 0.843731, -0.081256
1.49543, 0.62359, -9.90004, -0.333989, 0.811897, -0.048274
1.51612, 0.618734, -9.77966, -0.398711, 0.821007, -0.053678
1.53872, 0.613649, -9.55307, -0.575473, 0.987842, -0.050615
1.55361, 0.587164, -9.31472, -0.665935, 1.2616, -0.072787
1.52842, 0.529807, -9.05535, -0.648556, 1.36448, -0.096711
1.47817, 0.456931, -8.76413, -0.585134, 1.3756, -0.155572
1.42277, 0.387185, -8.51193, -0.474258, 1.35253, -0.171869
