Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.253411, 1.42294, -7.05607, -0.82855, -0.480181, -0.010644
0.271295, 1.48478, -7.29174, -0.797478, -0.437726, -0.003936
0.277924, 1.54637, -7.44109, -0.818678, -0.423363, -0.00269
0.280955, 1.59046, -7.55517, -0.949036, -0.470101, -0.033264
0.301397, 1.64326, -7.73604, -1.29127, -0.493213, -0.03966
0.320481, 1.66258, -7.87985, -1.59211, -0.416114, -0.017657
0.348051, 1.64109, -7.85952, -1.80505, -0.360234, -0.057909
0.376212, 1.57995, -7.8191, -1.91344, -0.324678, -0.124911
0.405057, 1.51801, -7.78667, -1.91217, -0.25515, -0.119236
0.429417, 1.4405, -7.74162, -1.86098, -0.218634, -0.104256
0.461183, 1.36153, -7.75745, -1.76274, -0.141799, -0.113748
0.499686, 1.27174, -7.64396, -1.65828, -0.085913, -0.106981
0.52287, 1.20453, -7.51426, -1.54235, -0.057746, -0.096941
0.546615, 1.14068, -7.45093, -1.40667, -0.068987, -0.089355
0.582486, 1.11218, -7.56354, -1.2845, -0.058275, -0.103252
0.642276, 1.10943, -7.78219, -1.16929, -0.048552, -0.080397
0.702194, 1.12745, -8.00379, -1.08759, -0.006627, -0.085263
0.764773, 1.15531, -8.23958, -1.04477, 0.043057, -0.085568
0.833533, 1.19872, -8.55168, -1.04751, 0.088561, -0.067125
0.890577, 1.23068, -8.76187, -1.11017, 0.131448, -0.075367
0.955097, 1.23995, -8.81149, -1.27755, 0.26649, -0.084805
1.02942, 1.22432, -8.85043, -1.40452, 0.454147, -0.07464
1.05993, 1.19301, -8.89959, -1.42077, 0.551427, -0.10292
1.07428, 1.13404, -8.89321, -1.36496, 0.573991, -0.105303
1.08196, 1.08784, -8.9952, -1.27092, 0.544823, -0.100914
1.10943, 1.05647, -9.12762, -1.19342, 0.521687, -0.097975
1.16329, 1.03212, -9.31914, -1.12502, 0.563731, -0.114901
1.22216, 1.00877, -9.35912, -1.08345, 0.641765, -0.100887
1.26743, 0.97814, -9.28289, -1.08589, 0.736276, -0.105601
1.30191, 0.943305, -9.18001, -1.07615, 0.830659, -0.094624
1.31389, 0.910545, -9.14167, -1.07838, 0.994216, -0.083912
1.32636, 0.880926, -9.20635, -1.0564, 1.17396, -0.089898
1.32141, 0.83504, -9.27265, -1.01873, 1.33629, -0.087991
1.28324, 0.776834, -9.36673, -0.91717, 1.45459, -0.089044
1.22269, 0.722358, -9.5064, -0.785672, 1.4759, -0.072973
1.11064, 0.660827, -9.61587, -0.662657, 1.37584, -0.071836
0.944129, 0.589118, -9.43076, -0.514668, 1.1079, -0.067609
0.788219, 0.540098, -9.3446, -0.404404, 0.859902, -0.063325
0.612288, 0.494345, -9.41574, -0.303636, 0.587034, -0.072237
0.443452, 0.451505, -9.39839, -0.231353, 0.295546, -0.080544
0.280721, 0.431773, -9.51947, -0.162116, 0.017219, -0.061458
0.139718, 0.440859, -9.73395, -0.118859, -0.20729, -0.060142
0.003782, 0.461738, -9.97888, -0.104575, -0.469928, -0.064941
-0.120392, 0.527077, -10.351, -0.131327, -0.695244, -0.064743
-0.236987, 0.613215, -10.6289, -0.21219, -0.841264, -0.062593
-0.348394, 0.701931, -10.7578, -0.296234, -0.946189, -0.055787
-0.459532, 0.810997, -10.9556, -0.361419, -1.01456, -0.067948
-0.570159, 0.941515, -11.0061, -0.392989, -1.03494, -0.060211
-0.676169, 1.07271, -10.9723, -0.399007, -1.02266, -0.06279
-0.767803, 1.22379, -10.9578, -0.375329, -1.00068, -0.031071
-0.850612, 1.38955, -10.8616, -0.328726, -0.974854, -0.033153
-0.960986, 1.55414, -10.8702, -0.401176, -1.08759, -0.037828
-1.02132, 1.72403, -10.9212, -0.291758, -0.98348, -0.051907
-1.03953, 1.89176, -10.9319, -0.065596, -0.768299, -0.068286
-1.03616, 1.99971, -10.8343, 0.215873, -0.550595, -0.120089
-1.02825, 2.12541, -10.8038, 0.246349, -0.639103, -0.179173
-1.01397, 2.23432, -10.7814, 0.527626, -0.557741, -0.184452
-0.957687, 2.40127, -10.8465, 0.601496, -0.492384, -0.179682
-0.892676, 2.47485, -10.757, 0.719665, -0.446452, -0.135521
-0.820208, 2.53062, -10.6349, 0.739584, -0.426128, -0.146348
-0.761151, 2.59489, -10.5433, 0.697523, -0.458608, -0.165269
-0.713059, 2.62506, -10.4623, 0.620975, -0.537295, -0.213493
-0.656016, 2.65625, -10.343, 0.418596, -0.692897, -0.24053
-0.592016, 2.64801, -10.1301, 0.100938, -0.848482, -0.219934
-0.535162, 2.66869, -10.0491, -0.301312, -1.01767, -0.22128
-0.458366, 2.67463, -10.0367, -0.711528, -1.16649, -0.22858
-0.381855, 2.67296, -10.0298, -0.900839, -1.25978, -0.242283
