Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.350672, 0.421867, -3.49046, -0.011238, -0.234436, -0.038746
0.350178, 0.420977, -3.54088, -0.0415, -0.208754, -0.036064
0.348993, 0.427796, -3.74189, -0.01563, -0.201669, -0.025264
0.348113, 0.423182, -3.86244, -0.02264, -0.208092, -0.015221
0.339159, 0.419526, -3.93088, -0.031055, -0.186035, -0.013672
0.326037, 0.434677, -4.04712, -0.055622, -0.179392, -0.070791
0.324342, 0.424954, -4.31703, -0.051602, -0.157849, -0.077661
0.311378, 0.41324, -4.65314, -0.004724, -0.134314, -0.08306
0.301472, 0.405948, -5.06731, 0.064595, -0.163175, -0.075272
0.284294, 0.411844, -5.66323, 0.089685, -0.258707, -0.086747
0.259498, 0.451065, -6.35472, 0.018772, -0.346858, -0.032197
0.243291, 0.481998, -7.38068, -0.050369, -0.448356, -0.075678
0.247518, 0.470835, -8.86637, 0.019124, -0.465399, -0.000676
0.264325, 0.437291, -9.8478, 0.076131, -0.379597, 0.035306
0.252824, 0.447923, -9.87629, -0.051011, -0.271296, 0.135709
0.222987, 0.448495, -9.7395, -0.157129, -0.188248, -0.02016
0.169289, 0.455074, -10.5708, -0.217942, -0.261858, -0.100265
0.09455, 0.446351, -11.1193, -0.252674, -0.395305, -0.066117
0.015098, 0.380958, -11.0365, -0.185074, -0.574131, -0.016462
-0.012281, 0.320431, -11.2848, -0.087813, -0.642804, 0.004591
-0.040703, 0.272063, -11.8664, 0.000946, -0.677345, -0.012915
-0.124281, 0.214556, -12.4515, 0.103173, -0.786497, -0.113938
-0.150653, 0.152806, -13.0164, 0.226521, -0.958666, -0.122236
-0.146953, 0.091333, -13.3135, 0.642781, -1.08428, -0.088918
-0.124102, 0.163121, -13.515, 0.651149, -1.04205, 0.010077
-0.081893, 0.271876, -13.8299, 0.48622, -0.96072, 0.03039
-0.058741, 0.423692, -14.3069, 0.250721, -0.930954, 0.02361
-0.000889, 0.572231, -14.9349, -0.006399, -0.937798, -0.065857
0.074022, 0.71207, -15.9467, -0.29405, -0.850844, -0.029444
0.147872, 0.837104, -16.8646, -0.535795, -0.701695, 0.058838
0.213492, 0.886259, -16.9842, -0.734546, -0.620571, 0.080276
0.249786, 0.910201, -16.7349, -0.925458, -0.572084, 0.023189
0.310361, 0.945885, -17.2339, -1.05809, -0.472323, -0.094152
0.387651, 0.905293, -17.6159, -1.02845, -0.377668, -0.067915
0.453127, 0.831949, -17.4616, -0.850348, -0.281571, 0.042904
0.582087, 0.780368, -17.145, -0.714178, -0.104749, 0.062427
0.778912, 0.776679, -16.9893, -0.626359, 0.186508, 0.036725
1.01769, 0.809355, -17.264, -0.688097, 0.623016, 0.073398
1.25314, 0.847056, -17.6456, -0.761309, 1.00909, 0.104328
1.40602, 0.839085, -17.4577, -0.758771, 1.19375, 0.077654
1.53307, 0.807149, -17.173, -0.70499, 1.31045, -0.046747
1.70087, 0.795449, -17.0767, -0.775931, 1.50595, -0.020688
1.78636, 0.733407, -16.7616, -0.776098, 1.64625, 0.033514
1.84224, 0.664896, -16.6739, -0.72393, 1.73672, -0.011386
1.95515, 0.602516, -16.8192, -0.712515, 1.94081, -0.097124
1.95588, 0.544303, -16.7594, -0.632712, 2.08796, -0.137188
1.94851, 0.461427, -16.6542, -0.454278, 2.27109, -0.060369
1.95713, 0.396254, -16.8974, -0.291382, 2.53808, 0.021895
1.8523, 0.39535, -16.9549, -0.212628, 2.55322, -0.133649
1.74668, 0.368581, -17.0387, -0.031812, 2.45131, -0.155167
1.69314, 0.317012, -17.5608, 0.132075, 2.414, -0.147038
1.60078, 0.328626, -17.8348, 0.181646, 2.24944, -0.095467
1.52999, 0.362892, -17.8947, 0.195942, 2.04327, -0.011471
1.56099, 0.414823, -18.3048, 0.166305, 1.9547, 0.02905
1.57012, 0.494711, -18.6079, -0.025101, 2.0212, 0.030018
1.52912, 0.498614, -18.5709, 0.019534, 2.10093, -0.112243
1.497, 0.503302, -18.7882, -0.048368, 2.0956, -0.015918
1.40064, 0.553166, -18.9019, -0.135721, 1.97006, -0.050768
1.25961, 0.601027, -18.9958, -0.213312, 1.77373, -0.116657
1.17595, 0.659638, -19.5897, -0.29788, 1.5927, -0.115108
1.0931, 0.724598, -20.0977, -0.436544, 1.40916, -0.131142
1.03479, 0.767696, -19.9972, -0.502874, 1.22849, -0.053836
1.04283, 0.80001, -20.2887, -0.536323, 1.07444, 0.049544
1.07641, 0.799053, -20.3392, -0.474074, 1.00068, 0.033735
1.09438, 0.78033, -20.2467, -0.451594, 0.947162, 0.017914
1.16692, 0.8291, -20.2453, -0.62995, 1.00431, 0.044729
1.23156, 0.870538, -20.2622, -0.742861, 1.08136, 0.046922
1.32151, 0.854196, -20.325, -0.694462, 1.21809, 0.040275
1.47924, 0.914065, -20.9484, -0.841873, 1.42937, 0.056859
1.56841, 0.952366, -21.1429, -0.964339, 1.58425, 0.053357
1.57726, 0.901854, -20.7019, -0.928754, 1.63084, -0.123037
1.6532, 0.936477, -21.266, -1.04407, 1.76072, -0.099254
1.709, 0.8999, -21.2925, -1.13667, 2.06195, 0.008924
1.57237, 0.797311, -20.6709, -0.927816, 2.221, -0.071654
1.41843, 0.650551, -20.2549, -0.580045, 2.04101, -0.12957
1.22693, 0.541425, -20.2145, -0.351045, 1.72014, -0.141667
0.910747, 0.467877, -19.8075, -0.202853, 1.23561, -0.153331
0.629973, 0.408293, -20.0715, -0.075755, 0.758276, -0.178505
0.386604, 0.37745, -20.4754, -0.023353, 0.339536, -0.136503
0.106547, 0.355737, -20.129, 0.013312, -0.104252, -0.120699
-0.177926, 0.332115, -19.7595, 0.083507, -0.597457, -0.162599
-0.475542, 0.319614, -19.9472, 0.149304, -1.099, -0.183446
-0.806391, 0.386946, -19.8272, 0.134089, -1.56958, -0.186982
