Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
-0.13668, 0.276343, -0.942276, 0.01249, -0.528513, 0.248942
-0.172372, 0.263341, -0.996616, 0.007368, -0.565819, 0.240956
-0.225124, 0.257949, -1.11854, 0.015635, -0.589374, 0.267622
-0.263229, 0.190993, -1.26573, 0.078428, -0.5849, 0.31636
-0.336002, 0.065631, -1.29943, 0.189939, -0.669455, 0.281958
-0.454362, -0.016507, -1.42185, 0.234476, -0.749875, 0.255396
-0.575309, -0.020447, -1.66943, 0.24102, -0.816145, 0.236099
-0.680556, -0.025261, -2.16487, 0.291902, -0.864464, 0.202953
-0.806073, -0.01852, -2.88917, 0.351036, -0.866148, 0.198879
-0.874406, 0.013284, -3.73873, 0.419972, -0.813619, 0.19004
-0.95452, -0.007617, -4.75311, 0.562115, -0.735449, 0.171445
-1.07403, 0.03999, -6.1021, 0.71756, -0.670937, 0.22569
-1.23578, 0.261045, -7.74814, 0.783507, -0.644766, 0.272275
-1.39353, 0.602733, -9.83636, 0.847029, -0.637008, 0.287307
-1.58062, 0.805421, -12.3855, 1.18042, -0.64825, 0.316748
-1.65791, 0.920713, -15.2852, 1.72368, -0.633223, 0.474139
-1.60633, 1.16739, -17.7577, 2.12503, -0.458402, 0.636502
-1.60654, 1.93661, -19.9242, 1.85075, -0.269553, 0.658909
-1.83693, 2.70199, -21.9327, 1.47306, -0.323827, 0.606268
-1.7869, 3.07036, -23.802, 1.47147, -0.209024, 0.734064
-1.74493, 3.32032, -24.6308, 1.23407, -0.111098, 0.856482
-1.81602, 3.96632, -24.5885, 0.316108, 0.0211, 0.868446
-2.2498, 4.82444, -25.4024, -0.614362, -0.250794, 0.827759
-2.09821, 5.16883, -25.9786, -0.921968, -0.135433, 0.952124
-1.40684, 4.96319, -26.2991, -0.766648, 0.528563, 1.25925
-1.10629, 5.31702, -26.7368, -1.11095, 0.968771, 1.5847
-1.08703, 5.93804, -26.9227, -1.65302, 1.06363, 1.59734
-1.00625, 6.19013, -27.2137, -1.67459, 1.1017, 1.6154
-0.375788, 5.97483, -26.7859, -1.56836, 1.68852, 1.97616
0.080545, 5.73325, -26.5516, -1.48283, 2.06908, 2.28669
-0.380578, 5.73737, -26.9533, -1.34867, 1.49697, 2.12229
-0.779526, 6.02493, -26.6505, -1.70619, 1.10475, 1.93648
-0.677048, 5.93027, -25.9948, -1.90531, 1.23826, 2.03064
-0.667968, 5.50697, -26.1645, -1.67945, 1.20931, 2.14425
-1.25128, 5.44859, -26.8679, -1.54869, 0.605426, 1.96478
-1.51514, 5.70363, -27.1262, -1.65052, 0.344182, 1.86607
-1.04252, 5.71675, -26.8319, -1.69694, 0.764816, 2.06684
-0.637713, 5.57819, -26.7844, -1.75739, 1.08658, 2.25816
-0.876842, 5.33225, -27.0114, -1.53365, 0.834451, 2.14905
-1.14998, 5.53719, -27.4743, -1.50623, 0.553053, 2.05282
-0.853961, 5.78884, -27.6063, -1.68415, 0.790814, 2.216
-0.41784, 5.63479, -27.244, -1.72737, 1.19701, 2.35849
-0.825174, 5.27485, -27.7584, -1.27381, 0.765423, 2.18279
-0.949341, 5.21043, -27.8472, -1.10147, 0.597288, 2.10383
-0.832558, 5.62709, -27.7618, -1.4679, 0.745832, 2.13211
-1.07065, 5.61419, -28.1771, -1.47803, 0.556968, 1.98168
-1.23744, 5.20973, -28.2456, -1.06731, 0.36076, 1.88485
-0.961838, 5.19169, -28.4775, -0.939554, 0.635953, 1.98405
-1.03536, 5.32038, -29.3054, -0.796384, 0.49536, 1.95065
-0.86466, 5.17269, -28.9298, -0.749116, 0.762848, 2.00184
-0.934055, 5.04328, -28.625, -0.785462, 0.792967, 2.01007
-1.02653, 5.00133, -28.3622, -0.852437, 0.718314, 1.87123
-1.12527, 4.633, -27.9927, -0.560961, 0.620682, 1.78293
-1.38932, 4.4538, -27.3897, -0.590906, 0.493686, 1.75269
-1.52886, 4.44892, -27.0024, -0.706669, 0.402813, 1.69668
-1.76242, 4.3556, -27.4071, -0.515226, 0.133864, 1.59774
-1.62317, 4.59507, -27.6082, -0.652275, 0.318848, 1.70269
-1.82303, 4.83142, -28.049, -0.891641, 0.164551, 1.66886
-1.97958, 4.85162, -28.3331, -0.947935, 0.000397, 1.6437
-1.90948, 5.01524, -28.0323, -1.15247, 0.134531, 1.75711
-1.84424, 5.2484, -28.0481, -1.41788, 0.225048, 1.8701
-1.88391, 5.4424, -28.653, -1.5232, 0.220096, 1.96778
-1.77521, 5.59486, -28.7955, -1.66893, 0.411639, 2.06483
-1.61298, 5.97576, -28.8703, -2.00853, 0.675049, 2.21271
-1.72894, 6.41021, -30.0444, -2.14285, 0.608399, 2.28247
-1.62567, 6.49186, -30.6004, -2.04167, 0.711577, 2.37374
-1.31848, 6.17977, -30.2078, -1.76924, 1.07517, 2.50535
-1.02199, 6.04365, -30.15, -1.70294, 1.44755, 2.76443
-0.943179, 6.2671, -30.6524, -1.84159, 1.55377, 2.88374
-1.22863, 6.29054, -31.0151, -1.82563, 1.22941, 2.72764
-1.55084, 6.39527, -31.5788, -1.95236, 1.02463, 2.7993
-1.32854, 6.37851, -31.2591, -2.18291, 1.26904, 2.94596
-0.854317, 6.21565, -30.5285, -2.1738, 1.74782, 2.994
-0.937987, 6.14131, -30.8217, -1.96903, 1.6687, 2.96615
-1.25856, 6.04662, -31.4422, -1.7229, 1.2655, 2.90498
-1.19509, 5.80633, -30.8646, -1.61783, 1.31867, 2.84907
-1.2411, 5.62995, -30.5692, -1.4923, 1.30073, 2.76534
-1.33452, 5.31622, -30.5744, -1.13887, 1.12246, 2.6591
-1.16, 5.29125, -30.5259, -1.15927, 1.23788, 2.78242
-1.42935, 5.54662, -31.0334, -1.35041, 0.995778, 2.80386
-1.4753, 5.48348, -30.9543, -1.24639, 0.895408, 2.7033
-1.27601, 5.09931, -30.782, -0.781303, 0.919536, 2.63042
-1.17767, 4.74332, -31.0984, -0.240454, 0.81316, 2.5562
-1.30521, 4.41626, -31.1912, 0.215118, 0.542958, 2.38045
-1.35231, 4.43335, -31.061, 0.280046, 0.421726, 2.24643
-1.30256, 4.59021, -31.3512, 0.314258, 0.369723, 2.17608
-1.15754, 4.59895, -31.329, 0.354271, 0.388838, 2.02272
-0.886192, 4.49305, -30.804, 0.463991, 0.605325, 2.01313
-0.786248, 4.67104, -30.6879, 0.267304, 0.780002, 2.16004
-0.852678, 5.13013, -30.9724, -0.121045, 0.687593, 2.18261
-0.862044, 5.1503, -30.3772, -0.320698, 0.663443, 2.09983
-0.730557, 4.94299, -29.9405, -0.266157, 0.855338, 2.32747
-0.908301, 4.86446, -30.8973, 0.076048, 0.57103, 2.36553
-0.601136, 4.74686, -30.4849, 0.176343, 0.817595, 2.36965
-0.645526, 4.82215, -30.5941, 0.127221, 0.890111, 2.45735
-0.761722, 4.68756, -30.8551, 0.336091, 0.704558, 2.39985
-0.681762, 4.32589, -30.8148, 0.747287, 0.654679, 2.2782
-0.596311, 4.20547, -30.4987, 0.794637, 0.840323, 2.35617
-0.765731, 4.23368, -30.3425, 0.661258, 0.763261, 2.40671
-0.890557, 4.13948, -30.4238, 0.75278, 0.571385, 2.31074
-0.778811, 4.02941, -30.4704, 0.856035, 0.687399, 2.37108
-0.792274, 4.0492, -30.9441, 0.954682, 0.716525, 2.50407
-0.712575, 4.12584, -31.2259, 0.997416, 0.751481, 2.52623
-0.608791, 4.22103, -31.3169, 0.98449, 0.833451, 2.54825
-0.464497, 4.40968, -31.5167, 0.840945, 0.957044, 2.61295
-0.334822, 4.23445, -31.3014, 0.974247, 0.986807, 2.5711
-0.352306, 4.0078, -30.9896, 1.08374, 0.951481, 2.5808
-0.609183, 4.01156, -31.0649, 1.0236, 0.734577, 2.59452
-0.818422, 4.01049, -31.4212, 1.06408, 0.4705, 2.54614
-0.709736, 3.97505, -31.2499, 1.05262, 0.562946, 2.56574
-0.663254, 3.96143, -31.4678, 1.09217, 0.622977, 2.6354
-0.699408, 3.83435, -31.8487, 1.3108, 0.518089, 2.63066
-0.697431, 3.6855, -31.4515, 1.40214, 0.459613, 2.52466
-0.483197, 3.88484, -30.7949, 1.06374, 0.744501, 2.58984
-0.779842, 3.88028, -31.2238, 1.13061, 0.418986, 2.42968
-0.785353, 3.68192, -30.8742, 1.21419, 0.340995, 2.25664
-0.940991, 3.50747, -31.2932, 1.49684, 0.242767, 2.31631
-0.847961, 3.50432, -31.6931, 1.65392, 0.270801, 2.41715
-0.685452, 3.54885, -31.5571, 1.66288, 0.325755, 2.41273
-0.744538, 3.32886, -30.9027, 1.71362, 0.323496, 2.36089
-0.857055, 3.1086, -30.468, 1.76346, 0.26042, 2.36735
-1.00985, 3.19824, -30.6735, 1.65116, 0.003388, 2.27469
-1.35927, 3.13855, -31.011, 1.81945, -0.410251, 2.11072
-1.55452, 2.94805, -30.8002, 2.0212, -0.618654, 2.0623
-1.4404, 2.91497, -30.8029, 2.06986, -0.590826, 2.1227
-1.42504, 2.9096, -31.0244, 2.09136, -0.67676, 2.11076
-1.74987, 2.99128, -31.2379, 2.09139, -0.987751, 1.97601
-1.79659, 3.01665, -31.1065, 2.09413, -1.02892, 1.99619
-1.57193, 2.94949, -31.0085, 2.10656, -0.910363, 2.07249
-1.51093, 2.88977, -30.7471, 2.06221, -0.871291, 1.98132
-1.71979, 2.79941, -31.01, 2.2569, -1.05184, 1.93231
-1.59995, 2.77935, -31.4866, 2.47567, -1.03698, 2.01516
-1.47464, 2.88671, -31.8672, 2.43286, -0.99913, 2.0591
-1.62935, 2.80015, -31.4931, 2.3858, -1.09194, 1.92396
-1.68441, 2.64291, -31.3641, 2.53674, -1.10088, 1.9527
-1.64186, 2.71505, -31.8603, 2.57133, -1.1345, 2.00707
-1.48148, 2.82232, -31.7654, 2.40906, -0.998476, 2.01042
-1.58656, 2.72031, -32.0804, 2.60824, -1.04639, 2.07428
-1.50207, 2.80277, -33.2103, 2.91087, -1.07495, 2.20229
-0.906353, 3.09676, -34.0106, 2.93141, -0.687006, 2.39879
-0.37661, 3.36493, -34.306, 2.83997, -0.1661, 2.58727
-0.685854, 3.41683, -35.0135, 3.07157, -0.522214, 2.54808
-0.522867, 3.44896, -34.846, 3.01971, -0.44351, 2.60393
-0.379909, 3.74883, -34.2919, 2.52827, -0.249119, 2.70406
-0.967678, 3.78272, -34.1861, 2.35243, -0.791199, 2.41683
-1.29893, 3.36146, -33.6679, 2.63595, -1.10825, 2.18024
-1.16892, 3.14484, -32.9582, 2.65211, -0.900319, 2.29651
-1.37171, 3.17263, -33.1615, 2.57387, -1.04831, 2.27765
-1.83962, 3.0341, -33.1439, 2.68146, -1.49725, 1.95511
-1.59799, 2.98009, -32.5504, 2.64133, -1.15386, 2.06924
-1.09889, 3.25502, -31.6473, 2.08259, -0.56489, 2.36536
-0.878119, 3.49433, -30.6213, 1.54166, -0.246269, 2.34303
-1.18253, 3.04127, -30.0079, 1.96033, -0.491751, 2.10783
-1.07128, 2.56122, -28.7954, 2.22423, -0.382181, 2.10529
-0.664706, 2.41067, -27.5975, 1.98839, 0.061037, 2.19718
-1.09161, 2.27879, -27.8559, 2.13862, -0.329338, 2.03595
-1.43241, 2.25828, -27.0142, 1.9339, -0.593543, 1.83977
-1.15115, 2.26542, -25.7938, 1.46038, -0.188533, 1.99368
-1.25222, 2.12591, -26.6157, 1.68831, -0.3401, 2.05965
-1.51193, 2.04208, -26.7901, 1.83509, -0.688097, 1.82321
-1.58797, 2.28871, -26.4298, 1.57044, -0.673804, 1.81808
-1.53496, 2.74477, -26.8486, 1.16944, -0.602573, 1.97695
-1.62041, 2.85002, -27.4634, 1.17135, -0.839596, 1.84981
-1.7429, 2.87219, -27.3274, 1.14531, -0.940485, 1.71479
-1.77653, 3.06167, -27.1704, 1.00247, -0.87218, 1.77341
-1.84987, 3.29104, -27.8712, 0.951559, -1.0301, 1.71132
-1.68971, 3.26181, -27.6769, 1.04199, -0.931333, 1.67499
-1.73424, 2.97418, -27.2953, 1.24937, -0.850845, 1.71997
-1.61563, 3.02929, -27.085, 1.13943, -0.68461, 1.81376
-1.54161, 3.08898, -27.4472, 1.21737, -0.720953, 1.74057
-1.51386, 2.79253, -27.4047, 1.52717, -0.659336, 1.82434
-1.61099, 2.60034, -27.1524, 1.58984, -0.671338, 1.96109
-1.48835, 2.67623, -27.1522, 1.43416, -0.587875, 1.94357
-1.41568, 2.64334, -27.4045, 1.56869, -0.56864, 1.98579
-1.4412, 2.5859, -27.1847, 1.55163, -0.548113, 2.07524
-1.40501, 2.6956, -27.2637, 1.37866, -0.497229, 2.11002
-1.43337, 2.78953, -27.9922, 1.41421, -0.626192, 2.04047
-1.42078, 2.85396, -28.3233, 1.47858, -0.651659, 2.08697
-1.51567, 3.12827, -28.3499, 1.19061, -0.668385, 2.15241
-1.59426, 3.39003, -28.5682, 0.856512, -0.713573, 2.1204
-1.58902, 3.53437, -28.702, 0.760764, -0.711814, 2.1238
-1.50638, 3.64172, -28.398, 0.599561, -0.596478, 2.18755
-1.50859, 3.6579, -28.3192, 0.536638, -0.576688, 2.21592
-1.75271, 3.53443, -28.7795, 0.739035, -0.845734, 2.14178
-1.66741, 3.36521, -28.3172, 0.882072, -0.75972, 2.15623
